,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.079073957,0.316295828,0.059157036,0.236628144,0.134857396,0.539429584,0.019782064,0.079128255
11,0.050375387,0.66892354,0.035580261,0.485689969,0.085597356,1.138611076,0.014709529,0.18209496
25,0.04205323,1.257668755,0.02759501,0.872020107,0.059389397,1.970062638,0.01439883,0.383678586
39,0.044113825,1.875262299,0.025288131,1.226053947,0.066727978,2.904254326,0.018758965,0.646304099
53,0.069990322,2.855126813,0.043026165,1.828420252,0.067502653,3.849291466,0.026896655,1.022857269
67,0.073619402,3.885798445,0.043574505,2.438463317,0.046818391,4.504748944,0.029998079,1.442830379
81,0.06991827,4.864654219,0.039010438,2.984609449,0.041956572,5.092140948,0.030865875,1.874952629
95,0.05731953,5.667127636,0.031874932,3.430858498,0.033761338,5.564799684,0.025410836,2.230704337
109,0.053310992,6.413481526,0.028479382,3.829569842,0.032323774,6.017332523,0.024799287,2.577894352
123,0.052975115,7.155133138,0.029471373,4.242169069,0.032690215,6.474995533,0.023471052,2.906489074
137,0.050463215,7.861618141,0.029459371,4.654600268,0.031628096,6.917788882,0.020972215,3.200100085
151,0.050107869,8.563128313,0.029503203,5.067645109,0.032336823,7.370504403,0.02057233,3.4881127
179,0.048598924,9.923898177,0.031951518,5.962287605,0.027670936,8.145290619,0.016619735,3.953465282
207,0.046308441,11.22053452,0.032734895,6.878864666,0.027044353,8.902532517,0.013546502,4.332767324
235,0.04357898,12.44074597,0.032371108,7.7852557,0.024295065,9.58279434,0.011183577,4.645907472
263,0.041131048,13.5924153,0.030227947,8.631638204,0.023097,10.22951033,0.010880004,4.950547588
291,0.039275088,14.69211776,0.029318833,9.452565528,0.020639575,10.80741843,0.009935615,5.22874481
319,0.03869927,15.77569731,0.028255837,10.24372897,0.020815428,11.39025042,0.010422617,5.520578095
347,0.035216081,16.76174759,0.02479983,10.93812421,0.021036774,11.97928011,0.010395214,5.811644096
375,0.033647106,17.70386655,0.023979774,11.60955787,0.019309213,12.51993806,0.009648023,6.081788741
403,0.026772654,18.45350085,0.017325619,12.0946752,0.019119388,13.05528093,0.009427915,6.345770367
431,0.025637815,19.17135968,0.016647522,12.56080582,0.019961425,13.61420082,0.008970332,6.596939661
459,0.026613386,19.9165345,0.018212771,13.0707634,0.01982486,14.16929692,0.008380791,6.831601805
487,0.028180966,20.70560154,0.019720341,13.62293295,0.021747954,14.77823963,0.008438877,7.067890347
515,0.023912735,21.37515812,0.016323292,14.07998512,0.022816331,15.4170969,0.007566627,7.279755904
543,0.02214278,21.99515596,0.01493558,14.49818136,0.025645067,16.13515877,0.007181555,7.48083944
571,0.022203186,22.61684517,0.015821045,14.94117061,0.025731542,16.85564194,0.00635641,7.658818911
