,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.112420275,0.449681098,0.09607064,0.384282562,0.084713245,0.338852981,0.016264921,0.065059683
11,0.046316506,0.773896641,0.031581474,0.605352879,0.083065329,0.920310283,0.014651967,0.167623452
25,0.042521893,1.369203141,0.024739343,0.951703682,0.053633176,1.67117475,0.017728917,0.415828284
39,0.036590995,1.881477068,0.020748527,1.242183061,0.052817712,2.41062272,0.01578965,0.636883383
53,0.038985756,2.427277657,0.024227812,1.581372425,0.058314203,3.227021557,0.01469963,0.84267821
67,0.044413427,3.049065639,0.032185533,2.031969886,0.064574099,4.131058946,0.01216332,1.012964694
81,0.044814693,3.676471344,0.033108519,2.495489149,0.056185323,4.917653469,0.011649989,1.176064542
95,0.040133787,4.23834436,0.029774484,2.91233193,0.04773031,5.58587781,0.010311572,1.320426552
109,0.040813754,4.809736913,0.031745948,3.356775205,0.043612729,6.196456022,0.009024193,1.446765252
123,0.038273695,5.345568637,0.029697547,3.772540866,0.037888356,6.726893009,0.008538259,1.566300877
137,0.033347836,5.812438337,0.025281388,4.126480295,0.034110694,7.204442729,0.008032337,1.678753599
151,0.028003491,6.204487208,0.020501973,4.413507923,0.031877265,7.650724441,0.00746964,1.783328561
179,0.020763734,6.785871749,0.013675074,4.796409993,0.026855833,8.402687757,0.007061804,1.981059068
207,0.025170935,7.49065793,0.018143334,5.304423354,0.031036564,9.271711561,0.006996564,2.176962865
235,0.021584291,8.095018067,0.015344949,5.734081925,0.027246025,10.03460027,0.006212096,2.350901541
263,0.025354786,8.804952072,0.01954004,6.281203042,0.028993505,10.84641841,0.005785753,2.512902611
291,0.024981284,9.504428013,0.019380222,6.823849259,0.028105874,11.63338287,0.005572956,2.668945371
319,0.024141203,10.18038171,0.018661692,7.346376638,0.030184753,12.47855596,0.005449327,2.821526517
347,0.022601689,10.81322901,0.016620585,7.811753024,0.031946772,13.37306558,0.005949157,2.988102925
375,0.021443187,11.41363824,0.016533617,8.27469429,0.028889303,14.18196607,0.004880681,3.124761986
403,0.013226552,11.78398171,0.008266902,8.506167553,0.023251544,14.83300929,0.004936399,3.262981149
431,0.015079194,12.20619915,0.010553917,8.80167723,0.024160891,15.50951424,0.004501116,3.389012408
459,0.012769703,12.56375084,0.008037745,9.026734092,0.02189072,16.1224544,0.004710067,3.520894297
487,0.024462096,13.24868954,0.020006553,9.586917587,0.031557293,17.00605861,0.004423986,3.644765896
515,0.019634764,13.79846295,0.015756276,10.02809332,0.02824462,17.79690798,0.003850244,3.75257272
543,0.024453572,14.48316295,0.020122422,10.59152114,0.029124946,18.61240648,0.004302024,3.873029401
571,0.022363592,15.10934353,0.018463504,11.10849925,0.024033178,19.28533547,0.003876055,3.981558946
