,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.073119672,0.292478686,0.064264319,0.257057276,0.113987057,0.45594823,0.008741365,0.034965461
11,0.035264129,0.53932759,0.028408169,0.455914459,0.099763294,1.154291291,0.006756197,0.08225884
25,0.027038463,0.917866066,0.020930375,0.748939702,0.072935578,2.175389382,0.006035152,0.166750975
39,0.032705379,1.375741373,0.026140406,1.114905381,0.059717753,3.011437928,0.006505256,0.257824554
53,0.028270236,1.771524682,0.020788596,1.40594572,0.043621055,3.622132694,0.00743802,0.361956829
67,0.028333945,2.168199913,0.02167469,1.709391385,0.028391139,4.019608634,0.006630864,0.454788919
81,0.031282817,2.606159357,0.023363869,2.036485555,0.021986188,4.327415265,0.007896962,0.565346387
95,0.039861131,3.164215191,0.031252307,2.474017856,0.023498054,4.656388022,0.008585326,0.685540947
109,0.043795397,3.777350749,0.032475124,2.928669591,0.020674141,4.945825995,0.011299599,0.843735332
123,0.04989247,4.475845335,0.036602656,3.441106777,0.021517874,5.247076225,0.013268296,1.029491481
137,0.048094747,5.149171791,0.033975067,3.916757722,0.017189079,5.487723331,0.01410249,1.226926346
151,0.044498474,5.77215042,0.030464032,4.343254171,0.016216317,5.71475177,0.014018225,1.423181497
179,0.036693171,6.799559213,0.02535144,5.053094496,0.012763399,6.072126948,0.011328968,1.74039259
207,0.035212202,7.785500869,0.023742938,5.717896762,0.011706216,6.399900995,0.011457558,2.061204206
235,0.031394329,8.664542088,0.020509691,6.292168115,0.011952654,6.734575316,0.010872685,2.365639398
263,0.03233971,9.570053978,0.020574986,6.868267723,0.010897074,7.039693383,0.011753827,2.694746562
291,0.030458544,10.4228932,0.019597567,7.416999589,0.009857863,7.315713546,0.010851119,2.998577901
319,0.031302096,11.29935189,0.019800502,7.971413649,0.009741163,7.588466104,0.011491853,3.320349775
347,0.030008735,12.13959646,0.018907576,8.500825766,0.010551677,7.883913059,0.011090607,3.630886778
375,0.025958236,12.86642707,0.016333541,8.958164909,0.008718075,8.128019156,0.009615977,3.900134147
403,0.0239562,13.53720068,0.014704505,9.369891062,0.008208229,8.357849567,0.009243487,4.15895177
431,0.023147651,14.18533492,0.014074284,9.763971008,0.007630745,8.571510428,0.009065737,4.412792402
459,0.021099669,14.77612564,0.011753487,10.09306863,0.007335647,8.776908538,0.009338846,4.674280097
487,0.022871576,15.41652978,0.012616937,10.44634287,0.00634602,8.954597094,0.010248293,4.961232313
515,0.019546494,15.9638316,0.010149617,10.73053214,0.005331921,9.103890888,0.009391545,5.224195573
543,0.02002757,16.52460356,0.011217668,11.04462683,0.004439382,9.228193584,0.008805463,5.470748534
571,0.018730056,17.04904513,0.011019517,11.3531733,0.00422839,9.346588511,0.007706311,5.686525241
