,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.094423704,0.377694817,0.076677747,0.306710989,0.087662456,0.350649825,0.017658295,0.070633178
11,0.049329627,0.723002206,0.033825388,0.543488706,0.052985901,0.721551132,0.015451253,0.178791949
25,0.032390858,1.176474214,0.019719146,0.819556756,0.05097807,1.435244109,0.012620733,0.355482214
39,0.029330847,1.587106074,0.017917923,1.070407681,0.037079182,1.954352654,0.011375845,0.514744041
53,0.041287099,2.165125455,0.029269935,1.480186776,0.038982516,2.500107874,0.011978181,0.682438572
67,0.04224071,2.756495395,0.030117424,1.901830708,0.032504624,2.955172616,0.012090782,0.851709515
81,0.040406022,3.3221797,0.028597697,2.302198463,0.02910906,3.36269946,0.011779216,1.016618538
95,0.03764855,3.849259398,0.027042651,2.680795575,0.02344365,3.690910562,0.010582455,1.164772913
109,0.033037852,4.311789331,0.023679711,3.012311522,0.021956728,3.99830475,0.009336185,1.295479504
123,0.031029248,4.746198802,0.023498475,3.341290178,0.021948029,4.305577152,0.007508824,1.400603047
137,0.030731988,5.176446635,0.023843256,3.675095766,0.020078908,4.586681868,0.006868653,1.496764187
151,0.031007341,5.610549412,0.023995526,4.011033123,0.018987379,4.852505176,0.006992828,1.594663784
179,0.028539824,6.409664494,0.02266535,4.645662927,0.020614893,5.429722184,0.005853859,1.758571845
207,0.033792091,7.355843033,0.027855249,5.425609889,0.030715462,6.289755128,0.005906127,1.923943389
235,0.04371329,8.579815152,0.037387359,6.472455935,0.061707385,8.017561897,0.006264224,2.099341656
263,0.045919291,9.865555314,0.0392385,7.571133944,0.078163665,10.20614452,0.006602627,2.284215225
291,0.048535533,11.22455023,0.042381014,8.757802344,0.107453649,13.21484668,0.006047065,2.453533043
319,0.048288794,12.57663647,0.04231944,9.942746674,0.107406383,16.22222539,0.005861947,2.617667568
347,0.049814632,13.97144617,0.043500675,11.16076559,0.104801253,19.15666047,0.006209155,2.79152392
375,0.036953589,15.00614665,0.031231164,12.03523818,0.088044044,21.62189371,0.005634381,2.949286583
403,0.030406684,15.8575338,0.025227428,12.74160618,0.074804214,23.71641171,0.005104451,3.09221121
431,0.027188569,16.61881373,0.022051825,13.35905728,0.062226461,25.45875262,0.005074517,3.234297698
459,0.027609965,17.39189276,0.022611562,13.99218102,0.060811462,27.16147356,0.004937592,3.372550266
487,0.024727694,18.08426818,0.019633533,14.54191996,0.050702051,28.58113098,0.005043458,3.513767092
515,0.021986233,18.6998827,0.017624825,15.03541507,0.043269195,29.79266845,0.004318138,3.634674958
543,0.022885095,19.34066535,0.018024724,15.54010733,0.039802044,30.90712567,0.004820569,3.769650895
571,0.02009333,19.90327858,0.015785306,15.9820959,0.035963789,31.91411175,0.00427206,3.889268571
