,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.122632553,0.490530211,0.092963363,0.371853452,0.118355439,0.473421757,0.029550834,0.118203337
11,0.093201118,1.142938038,0.06705047,0.841206742,0.092027679,1.117615512,0.02605862,0.30061368
25,0.114355267,2.743911771,0.088941083,2.086381901,0.054020511,1.873902671,0.025360163,0.655655968
39,0.131335638,4.5826107,0.106779346,3.581292744,0.030991894,2.307789189,0.0245253,0.999010167
53,0.134443563,6.464820578,0.106729619,5.075507412,0.027174376,2.688230452,0.027686769,1.386624935
67,0.112704295,8.042680708,0.086413608,6.285297923,0.023291318,3.0143089,0.026267396,1.754368476
81,0.105815688,9.524100336,0.080536591,7.412810196,0.022663854,3.331602853,0.025256433,2.107958537
95,0.095872417,10.86631418,0.073140358,8.436775208,0.021237755,3.628931418,0.022710821,2.425910036
109,0.089465072,12.11882519,0.068264996,9.392485149,0.018995097,3.894862775,0.021181081,2.722445174
123,0.082357971,13.27183677,0.063490262,10.28134882,0.017765252,4.143576301,0.018849943,2.986344376
137,0.065435294,14.18793089,0.048411292,10.95910692,0.017431465,4.38761681,0.01700657,3.22443636
151,0.066308111,15.11624445,0.049738634,11.65544779,0.015826158,4.609183017,0.016553651,3.456187479
179,0.055644864,16.67430064,0.041872347,12.82787351,0.014930492,5.027236786,0.013757586,3.841399892
207,0.045639245,17.95219949,0.033627077,13.76943167,0.015473802,5.460503245,0.011996694,4.177307318
235,0.040780483,19.09405302,0.030125373,14.6129421,0.017138011,5.940367554,0.010637973,4.475170551
263,0.034114731,20.04926548,0.024957783,15.31176002,0.017620863,6.43375172,0.009139327,4.731071711
291,0.040420052,21.18102695,0.032093707,16.21038382,0.018827396,6.96091881,0.008307518,4.963682213
319,0.037660648,22.2355251,0.029743715,17.04320784,0.017324971,7.446017995,0.007899608,5.184871246
347,0.033520742,23.17410588,0.025628429,17.76080386,0.02045302,8.018702555,0.00787186,5.405283314
375,0.029641467,24.00406694,0.022665792,18.39544604,0.01674997,8.487701709,0.006958924,5.600133196
403,0.027127036,24.76362395,0.020910291,18.98093418,0.014875003,8.904201787,0.006201871,5.773785571
431,0.022779979,25.40146335,0.017096373,19.45963262,0.015006133,9.324373521,0.005668599,5.932506357
459,0.02302896,26.04627423,0.017142628,19.93962622,0.014418495,9.728091393,0.005871913,6.096919916
487,0.020211716,26.61220229,0.014410401,20.34311745,0.012717916,10.08419304,0.005788597,6.25900064
515,0.018137689,27.12005757,0.012901294,20.70435368,0.010836655,10.38761939,0.005225558,6.405316268
543,0.017031709,27.59694543,0.011348247,21.0221046,0.011496802,10.70952984,0.005671965,6.564131298
571,0.013378651,27.97154765,0.008302942,21.25458698,0.010538019,11.00459437,0.00506517,6.705956071
