,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.115840675,0.463362702,0.082500163,0.330000654,0.12706523,0.508260921,0.033213447,0.132853787
11,0.083052577,1.04473074,0.048844865,0.67191471,0.090663388,1.142904634,0.034117048,0.371673126
25,0.059425547,1.876688394,0.027334378,1.054596007,0.061757302,2.007506865,0.032029411,0.820084881
39,0.051251768,2.594213147,0.021066539,1.349527547,0.054283367,2.767473998,0.030130946,1.241918126
53,0.054893034,3.36271562,0.027093602,1.728837978,0.053796418,3.520623856,0.027745635,1.630357018
67,0.053005036,4.10478612,0.029206456,2.137728359,0.048761554,4.203285607,0.023749818,1.962854475
81,0.05226298,4.836467839,0.031078939,2.572833504,0.047841579,4.873067714,0.021136199,2.258761267
95,0.051088566,5.551707768,0.031526939,3.014210645,0.047632915,5.539928529,0.019513995,2.531957195
109,0.057980173,6.363430184,0.038542197,3.553801405,0.058377251,6.357210044,0.019379598,2.803271569
123,0.065545058,7.281060997,0.048431641,4.231844386,0.073874497,7.391452997,0.017039542,3.041825158
137,0.088635512,8.521958165,0.070733341,5.222111157,0.112936842,8.972568779,0.017789234,3.290874439
151,0.090965569,9.795476128,0.074002969,6.258152728,0.119796472,10.64971938,0.016842803,3.52667368
179,0.089719505,12.30762227,0.073291542,8.310315918,0.143003696,14.65382286,0.016284959,3.982652528
207,0.089035732,14.80062276,0.074885282,10.40710382,0.185372851,19.84426268,0.013965077,4.373674684
235,0.073200364,16.85023295,0.059601571,12.07594779,0.17240085,24.67148647,0.013426392,4.74961367
263,0.062390789,18.59717505,0.048594414,13.43659137,0.139835243,28.58687327,0.01365654,5.131996798
291,0.060462301,20.29011947,0.047427637,14.7645652,0.122706919,32.022667,0.012911957,5.493531607
319,0.055226219,21.8364536,0.042313953,15.94935588,0.0956101,34.69974979,0.012816656,5.852397964
347,0.04759781,23.16919228,0.034404553,16.91268337,0.082535924,37.01075568,0.013110721,6.219498153
375,0.040945593,24.31566889,0.029109404,17.72774668,0.051995276,38.46662339,0.011784194,6.549455587
403,0.02965849,25.1461066,0.019340468,18.26927978,0.052796434,39.94492356,0.010265226,6.836881902
431,0.029255438,25.96525887,0.018779906,18.79511715,0.046332464,41.24223255,0.0104292,7.128899495
459,0.029539046,26.79235216,0.018973242,19.32636792,0.047884964,42.58301155,0.010517919,7.423401229
487,0.024843927,27.48798212,0.015510673,19.76066676,0.046710425,43.89090346,0.009286544,7.683424452
515,0.022885324,28.12877119,0.014936094,20.1788774,0.040773288,45.03255551,0.007908457,7.904861234
543,0.024446011,28.8132595,0.014816517,20.59373987,0.038485869,46.11015985,0.009591008,8.173409463
571,0.021804446,29.423784,0.013138204,20.96160957,0.028086039,46.89656894,0.008638157,8.415277855
