,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.102300517,0.409202069,0.085863592,0.343454368,0.117729619,0.470918475,0.016319196,0.065276782
11,0.040333394,0.691535824,0.025278969,0.520407152,0.089346709,1.09634544,0.014965078,0.170032326
25,0.029549668,1.105231182,0.014468697,0.722968905,0.059794667,1.933470783,0.015021177,0.380328805
39,0.031980276,1.552955052,0.017516095,0.968194231,0.055819887,2.714949206,0.014408362,0.582045872
53,0.036738771,2.067297843,0.020494557,1.255118032,0.053650496,3.466056147,0.016190563,0.808713754
67,0.040907715,2.640005854,0.025317781,1.609566973,0.045603783,4.104509116,0.01554433,1.026334372
81,0.045899939,3.282605003,0.029279788,2.019484002,0.040992442,4.678403308,0.016579159,1.258442598
95,0.046230779,3.929835903,0.029341716,2.430268022,0.034971705,5.16800718,0.016854091,1.494399874
109,0.048196803,4.604591144,0.031116391,2.865897499,0.033952217,5.643338219,0.01704646,1.733050307
123,0.047681339,5.27212989,0.02970479,3.281764564,0.03340515,6.111010317,0.017943143,1.984254316
137,0.049350605,5.963038366,0.031407559,3.721470389,0.030873582,6.543240462,0.017912173,2.235024736
151,0.048751244,6.645555783,0.029404966,4.133139908,0.03154172,6.984824538,0.019314737,2.50543105
179,0.052702008,8.121212021,0.036848847,5.164907623,0.024790092,7.678947119,0.015828371,2.94862545
207,0.051679887,9.568248861,0.036602152,6.189767884,0.024718712,8.371071056,0.015053016,3.370109905
235,0.055092305,11.11083339,0.04010048,7.312581326,0.022969934,9.0142292,0.014968855,3.789237834
263,0.055918889,12.67656228,0.040498067,8.446527208,0.024579247,9.702448123,0.015396242,4.22033262
291,0.055103486,14.21945989,0.040696383,9.586025925,0.023766365,10.36790634,0.014383337,4.623066059
319,0.054394126,15.74249542,0.040031152,10.70689819,0.023585162,11.02829088,0.014339389,5.02456894
347,0.048999258,17.11447466,0.03497663,11.68624385,0.024629311,11.7179116,0.013997999,5.416512899
375,0.040194311,18.23991537,0.027617783,12.45954177,0.023556186,12.37748482,0.012552972,5.767996115
403,0.038769306,19.32545594,0.026054472,13.18906697,0.025102208,13.08034664,0.012689732,6.123308621
431,0.033871111,20.27384704,0.021691549,13.79643034,0.026054668,13.80987735,0.012153507,6.463606828
459,0.028194574,21.06329512,0.017597739,14.28916704,0.026898621,14.56303875,0.010569936,6.759565042
487,0.027411493,21.83081692,0.016945049,14.76362841,0.027091014,15.32158715,0.010439353,7.051866925
515,0.02251432,22.46121789,0.014230067,15.16207029,0.024933298,16.01971948,0.00825932,7.283127879
543,0.017971325,22.96441498,0.009169885,15.41882706,0.025289193,16.72781689,0.008776151,7.528860101
571,0.014155848,23.36077873,0.0096782,15.68981668,0.022905159,17.36916133,0.004454742,7.653592888
