,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.119401125,0.477604499,0.099477921,0.397911684,0.104168243,0.416672972,0.019819035,0.079276142
11,0.084236731,1.067261613,0.065639437,0.857387746,0.096304353,1.09080344,0.018500989,0.208783064
25,0.068979511,2.032974773,0.047256923,1.518984667,0.078521445,2.190103666,0.021644067,0.511800002
39,0.085636068,3.231879732,0.06892886,2.483988701,0.094930107,3.519125166,0.016612279,0.744371907
53,0.072553864,4.247633822,0.059054096,3.310746043,0.036864303,4.035225406,0.013462903,0.932852554
67,0.060716583,5.097665982,0.05027952,4.014659318,0.02238085,4.348557311,0.010414682,1.078658106
81,0.045028857,5.728069977,0.034970147,4.50424138,0.024021199,4.684854097,0.010034688,1.219143744
95,0.036283602,6.236040407,0.026721979,4.87834909,0.023248125,5.01032785,0.009538375,1.352680989
109,0.03221452,6.687043686,0.022906622,5.199041793,0.024263644,5.350018865,0.009283635,1.482651874
123,0.032697987,7.14481551,0.022410193,5.512784496,0.024523717,5.693350901,0.010263271,1.626337663
137,0.030811019,7.576169774,0.02037941,5.798096229,0.025404608,6.049015418,0.010406205,1.772024529
151,0.028652879,7.977310075,0.020330079,6.082717342,0.024621189,6.39371206,0.008298178,1.888199021
179,0.026231163,8.711782646,0.018436643,6.598943347,0.024500946,7.079738558,0.007770019,2.10575956
207,0.024063751,9.385567661,0.016188104,7.052210249,0.02347847,7.737135708,0.007852168,2.325620276
235,0.023530159,10.04441212,0.015952812,7.498888989,0.024220226,8.415302041,0.007553127,2.537107827
263,0.026551854,10.78786404,0.019434627,8.043058548,0.023024769,9.059995587,0.007094203,2.735745497
291,0.026124224,11.51934231,0.018851682,8.570905645,0.022744376,9.696838127,0.007249798,2.938739831
319,0.035932138,12.52544217,0.029528619,9.397706976,0.020148799,10.2610045,0.00638337,3.117474192
347,0.029320459,13.34641503,0.022282785,10.02162496,0.021417937,10.86070674,0.007016256,3.313929365
375,0.023065918,13.99226074,0.017639522,10.51553157,0.022082521,11.47901732,0.005404314,3.465250143
403,0.020383251,14.56299177,0.014969691,10.93468294,0.022568424,12.1109332,0.005390991,3.616197898
431,0.022918607,15.20471277,0.018161509,11.44320519,0.025444835,12.82338858,0.004731653,3.74868419
459,0.023622463,15.86614173,0.01838021,11.95785107,0.025013862,13.52377673,0.005217239,3.894766878
487,0.023805254,16.53268884,0.019075857,12.49197507,0.025443443,14.23619313,0.004703953,4.026477575
515,0.021004861,17.12082494,0.016724174,12.96025194,0.026038896,14.96528222,0.004254648,4.145607714
543,0.022936419,17.76304466,0.017837564,13.45970373,0.027396046,15.73237151,0.005071459,4.287608556
571,0.02144517,18.36350941,0.017434068,13.94785763,0.025982934,16.45989367,0.003985119,4.399191894
