,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.090345115,0.361380458,0.083459363,0.333837451,0.073812576,0.295250303,0.006811939,0.027247757
11,0.066797263,0.828961302,0.063147118,0.775867275,0.058268657,0.703130901,0.003591877,0.052390896
25,0.032554545,1.284724927,0.030206425,1.198757229,0.024821746,1.050635344,0.002323298,0.084917063
39,0.039277037,1.834603445,0.035332551,1.693412938,0.031178218,1.487130399,0.003913308,0.139703376
53,0.021015492,2.128820327,0.016425328,1.923367528,0.016176425,1.713600355,0.004573987,0.203739198
67,0.017471013,2.373414508,0.013410825,2.111119075,0.016563824,1.945493886,0.004043624,0.260349939
81,0.01653558,2.604912627,0.012525917,2.286481918,0.01446976,2.148070521,0.003995193,0.316282638
95,0.020011342,2.88507141,0.015808693,2.507803625,0.019525708,2.421430438,0.004183123,0.374846354
109,0.026398104,3.254644869,0.022272755,2.819622202,0.023215084,2.746441613,0.004102134,0.432276226
123,0.045312228,3.889016067,0.041237934,3.396953279,0.034197486,3.225206418,0.004040097,0.488837581
137,0.06487507,4.797267049,0.060897668,4.249520635,0.049223494,3.914335333,0.003928178,0.543832079
151,0.080267149,5.921007141,0.076031355,5.313959611,0.052614093,4.650932634,0.00418318,0.602396598
179,0.063346698,7.694714673,0.059451943,6.978614019,0.04293045,5.852985228,0.003851824,0.710247669
207,0.046233493,8.989252488,0.04254539,8.169884934,0.037197317,6.894510118,0.003650906,0.812473045
235,0.056818846,10.58018019,0.053392406,9.664872291,0.026683445,7.64164659,0.003399757,0.907666249
263,0.043682839,11.80329967,0.039723394,10.77712731,0.021817585,8.252538983,0.003937627,1.017919816
291,0.03651969,12.82585098,0.033157064,11.70552509,0.017042991,8.729742743,0.003345583,1.111596148
319,0.036823411,13.8569065,0.033232821,12.63604409,0.022458024,9.358567404,0.003568132,1.211503838
347,0.029643493,14.68692431,0.026082024,13.36634075,0.021904738,9.971900081,0.003539565,1.310611659
375,0.026185414,15.42011591,0.022503128,13.99642834,0.021872523,10.58433074,0.003660413,1.413103233
403,0.022458436,16.04895211,0.019117086,14.53170676,0.017067931,11.06223279,0.003324282,1.506183125
431,0.020172795,16.61379038,0.016609214,14.99676475,0.018480729,11.5796932,0.0035451,1.605445934
459,0.015086761,17.03621968,0.011872146,15.32918485,0.015879293,12.02431341,0.003198735,1.695010519
487,0.016199453,17.48980436,0.01245513,15.67792848,0.017377949,12.510896,0.003726945,1.799364982
515,0.010829487,17.79302999,0.007900974,15.89915575,0.01266225,12.865439,0.002915851,1.881008799
543,0.012003225,18.12912028,0.008130974,16.12682302,0.014087037,13.25987602,0.003858164,1.989037385
571,0.009662054,18.39965779,0.00661614,16.31207493,0.011369957,13.57823483,0.003034545,2.074004633
