,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.139132004,0.556528015,0.052856045,0.211424179,0.179095097,0.71638039,0.086096864,0.344387456
11,0.12982295,1.465288663,0.05097043,0.568217192,0.10624364,1.460085868,0.078746276,0.895611385
25,0.148729903,3.547507312,0.066355556,1.497194977,0.066567978,2.392037558,0.082307779,2.047920297
39,0.160540464,5.795073809,0.078517293,2.596437073,0.062512817,3.267217001,0.081960659,3.195369519
53,0.161444775,8.055300656,0.073405992,3.624120965,0.056303847,4.055470853,0.087982479,4.427124221
67,0.146861129,10.11135647,0.072947833,4.645390633,0.046002457,4.69950525,0.073867293,5.461266328
81,0.147956662,12.18274973,0.073343678,5.672202132,0.043758277,5.312121122,0.074569225,6.505235476
95,0.135574862,14.08079779,0.065602773,6.590640961,0.041479417,5.892832962,0.069930609,7.484263998
109,0.131047117,15.91545742,0.060802558,7.441876774,0.039602542,6.447268551,0.070204956,8.467133382
123,0.130608729,17.74397963,0.060180408,8.284402481,0.035728376,6.947465815,0.070392593,9.45262968
137,0.115504734,19.3610459,0.047386611,8.947815041,0.034432101,7.429515227,0.068083691,10.40580135
151,0.114806343,20.9683347,0.045879624,9.590129771,0.033114009,7.893111353,0.068893605,11.37031182
179,0.098617266,23.72961816,0.031862501,10.48227979,0.027379769,8.659744898,0.066727386,13.23867862
207,0.091500937,26.29164439,0.028314262,11.27507913,0.027132876,9.419465416,0.063159542,15.00714579
235,0.089575069,28.79974631,0.02622965,12.00950934,0.028363554,10.21364493,0.063317055,16.78002333
263,0.094333045,31.44107158,0.030825541,12.87262449,0.027693843,10.98907254,0.06347981,18.55745802
291,0.078490429,33.6388036,0.017953093,13.3753111,0.029394343,11.81211414,0.060507942,20.25168038
319,0.085341651,36.02836983,0.024183794,14.05245734,0.030564969,12.66793327,0.061127292,21.96324456
347,0.083460055,38.36525136,0.021237252,14.64710038,0.030741372,13.52869169,0.062192062,23.70462229
375,0.071394508,40.36429758,0.015688392,15.08637534,0.028148144,14.31683973,0.055677968,25.2636054
403,0.073602264,42.42516099,0.019152425,15.62264324,0.027498972,15.08681094,0.05442234,26.78743093
431,0.064199237,44.22273963,0.011324711,15.93973515,0.027156291,15.84718709,0.05284737,28.26715729
459,0.066320131,46.07970329,0.014222748,16.3379721,0.026701193,16.5948205,0.052070681,29.72513637
487,0.066368909,47.93803273,0.013979902,16.72940937,0.026152878,17.32710109,0.052362853,31.19129626
515,0.061870041,49.67039387,0.012984297,17.09296969,0.025063687,18.02888434,0.04886068,32.55939529
543,0.053250056,51.16139545,0.005960099,17.25985247,0.026936718,18.78311243,0.047263021,33.88275987
571,0.056162166,52.73393608,0.010849251,17.56363149,0.024873457,19.47956922,0.045288041,35.15082502
