,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.13377609,0.535104359,0.10699687,0.427987479,0.165485514,0.661942056,0.026613734,0.106454938
11,0.103377669,1.25874804,0.076301749,0.962099719,0.12906306,1.565383476,0.026946857,0.295082937
25,0.088130443,2.492574242,0.062080927,1.831232696,0.080175659,2.687842706,0.02596934,0.658653703
39,0.096627523,3.845359566,0.070528336,2.818629402,0.062985347,3.569637568,0.026036202,1.023160526
53,0.107390987,5.348833384,0.080642481,3.947624138,0.055427843,4.345627374,0.026693078,1.396863619
67,0.10797055,6.860421091,0.085485449,5.144420427,0.045730163,4.985849661,0.022439371,1.711014815
81,0.108303497,8.376670047,0.087942619,6.375617098,0.041157276,5.562051527,0.02031972,1.995490898
95,0.099595677,9.771009523,0.080717369,7.505660257,0.039181819,6.110596994,0.018839127,2.259238669
109,0.10271972,11.2090856,0.08527321,8.699485191,0.037214688,6.631602619,0.017409296,2.502968811
123,0.102888686,12.6495272,0.08595916,9.902913435,0.032012542,7.079778211,0.016897513,2.739533989
137,0.100406927,14.05522419,0.084559866,11.08675156,0.031718119,7.523831876,0.015815343,2.960948792
151,0.100529291,15.46263427,0.08444908,12.26903868,0.031538427,7.965369856,0.016048673,3.185630218
179,0.076033424,17.59157014,0.062524532,14.01972556,0.028188534,8.754648812,0.013480704,3.563089927
207,0.059853586,19.26747055,0.047106364,15.33870376,0.028004065,9.538762625,0.012719218,3.919228026
235,0.049535081,20.65445283,0.037295245,16.38297063,0.025462436,10.25171084,0.012214374,4.261230488
263,0.04123956,21.80916052,0.028741131,17.18772228,0.022857382,10.89171753,0.012475572,4.610546517
291,0.036429298,22.82918086,0.025431909,17.89981574,0.023737384,11.55636429,0.010973651,4.917808755
319,0.035708649,23.82902302,0.024943616,18.598237,0.025825307,12.27947288,0.010739207,5.218506548
347,0.035119331,24.81236429,0.024112982,19.2734005,0.029522748,13.10610983,0.010976826,5.525857681
375,0.033294675,25.74461518,0.023269866,19.92495676,0.029117053,13.92138731,0.009995691,5.80573704
403,0.025063804,26.44640169,0.016797336,20.39528217,0.022855069,14.56132923,0.008243612,6.036558187
431,0.023291236,27.0985563,0.015020888,20.81586704,0.021810548,15.17202457,0.008248537,6.267517235
459,0.020537708,27.67361211,0.012756167,21.17303972,0.02036715,15.74230476,0.007761173,6.484830085
487,0.019237701,28.21226773,0.011151168,21.48527243,0.019341886,16.28387756,0.008067191,6.710711422
515,0.016741654,28.68103406,0.009636489,21.75509412,0.016874565,16.75636537,0.007088291,6.909183574
543,0.016761643,29.15036005,0.009290215,22.01522013,0.015364933,17.1865835,0.007456063,7.117953343
571,0.013831475,29.53764135,0.00694971,22.20981202,0.014089155,17.58107985,0.006867675,7.310248252
