,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.073884671,0.295538683,0.066394095,0.265576382,0.091617254,0.366469016,0.007398958,0.029595832
11,0.059008026,0.708594866,0.052113556,0.630371274,0.07770188,0.910382177,0.006816768,0.07731321
25,0.036318736,1.21705717,0.02868269,1.03192894,0.063458382,1.79879952,0.007572587,0.18332943
39,0.034264375,1.696758423,0.024577218,1.376009998,0.054051785,2.555524504,0.009633105,0.318192901
53,0.028007747,2.088866884,0.016943361,1.613217052,0.04318854,3.160164058,0.011021198,0.472489668
67,0.024400022,2.430467193,0.01518377,1.825789829,0.035222637,3.653280976,0.00918103,0.601024082
81,0.02735335,2.813414089,0.017572714,2.07180783,0.032836076,4.112986044,0.009747799,0.737493273
95,0.029405777,3.225094973,0.019193519,2.340517101,0.029774187,4.529824659,0.010182484,0.880048048
109,0.052859385,3.965126361,0.041369983,2.919696862,0.04516662,5.162157339,0.011444235,1.040267342
123,0.060095261,4.806460013,0.046379329,3.569007474,0.074253527,6.201706714,0.013641678,1.231250833
137,0.065074691,5.717505687,0.049831062,4.266642344,0.039216924,6.750743647,0.015204412,1.444112599
151,0.050179305,6.42001596,0.032162378,4.716915635,0.028943963,7.155959125,0.017987983,1.695944366
179,0.037350642,7.465833923,0.020967461,5.304004553,0.021230678,7.7504181,0.016361949,2.154078951
207,0.035302143,8.45429392,0.019043296,5.837216845,0.01862082,8.271801069,0.016240226,2.608805274
235,0.030260536,9.301588925,0.016115309,6.288445491,0.017738432,8.768477156,0.014127489,3.004374957
263,0.029861278,10.13770472,0.015503673,6.722548342,0.017677685,9.263452348,0.014339927,3.405892923
291,0.02714193,10.89767875,0.014042275,7.11573205,0.017264816,9.746867198,0.01308239,3.772199833
319,0.029113627,11.71286031,0.015355911,7.545697558,0.018297434,10.25919535,0.013739419,4.156903552
347,0.027186613,12.47408546,0.013657558,7.928109189,0.019106898,10.7941885,0.013509948,4.535182083
375,0.02663941,13.21998893,0.012965773,8.291150841,0.017717306,11.29027307,0.013655919,4.917547816
403,0.02272496,13.8562878,0.01085063,8.594968484,0.016099408,11.74105651,0.01185823,5.249578263
431,0.017736801,14.35291822,0.008237483,8.825618016,0.016941047,12.21540583,0.009482376,5.515084796
459,0.01666777,14.81961577,0.008217952,9.05572066,0.015921374,12.6612043,0.008433897,5.751233902
487,0.022016336,15.43607316,0.013076628,9.42186624,0.017883495,13.16194215,0.008921824,6.001044983
515,0.019899689,15.99326446,0.010717324,9.721951319,0.016576784,13.6260921,0.009165788,6.257687051
543,0.022496034,16.62315341,0.01306731,10.08783599,0.018972375,14.15731859,0.009409752,6.521160106
571,0.021213106,17.21712037,0.012829662,10.44706651,0.017162585,14.63787096,0.008366282,6.755415991
