,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.067433568,0.269734274,0.060056441,0.240225763,0.077747269,0.310989075,0.00729938,0.029197522
11,0.059430823,0.685750037,0.052251676,0.605987493,0.033372445,0.544596191,0.007145775,0.079217948
25,0.039573094,1.239773358,0.03269597,1.06373108,0.018016101,0.796821599,0.006859108,0.175245457
39,0.039158386,1.787990758,0.031972968,1.511352635,0.024114912,1.134430362,0.007161303,0.275503694
53,0.029931581,2.207032899,0.022259343,1.822983439,0.018813054,1.397813112,0.007653425,0.382651646
67,0.023372592,2.534249182,0.015651743,2.042107835,0.018309613,1.654147696,0.007702539,0.490487199
81,0.020285256,2.818242772,0.012495336,2.217042543,0.014925556,1.863105475,0.007774995,0.599337123
95,0.02130805,3.116555467,0.01371257,2.409018528,0.018444882,2.121333821,0.007577034,0.705415606
109,0.01823714,3.371875421,0.010546412,2.556668296,0.016006046,2.34541846,0.007674721,0.812861706
123,0.018414556,3.629679208,0.009960728,2.696118483,0.018187675,2.600045911,0.008435641,0.930960678
137,0.015891878,3.852165497,0.007095501,2.795455496,0.015759367,2.820677045,0.008780617,1.053889323
151,0.017712541,4.10014107,0.009801581,2.932677637,0.017713568,3.068666997,0.007893246,1.164394766
179,0.01493408,4.518295311,0.008393396,3.16769273,0.013318227,3.441577342,0.006527366,1.347161003
207,0.01096294,4.82525762,0.004913124,3.305260205,0.017068039,3.919482422,0.006032747,1.516077932
235,0.011570695,5.149237083,0.006218682,3.479383314,0.012936166,4.281695064,0.005339077,1.665572074
263,0.012303638,5.493738946,0.006923705,3.673247043,0.015415707,4.71333485,0.005364518,1.815778568
291,0.007586597,5.706163656,0.00264198,3.747222492,0.011443929,5.033764867,0.004933173,1.953907399
319,0.009207634,5.963977413,0.003952466,3.857891538,0.01499783,5.453704115,0.00524017,2.100632171
347,0.008389793,6.198891616,0.002647644,3.932025571,0.012132556,5.79341568,0.005730016,2.26107263
375,0.005626863,6.356443779,0.001093817,3.962652453,0.012610517,6.146510168,0.004520435,2.387644816
403,0.005967306,6.523528347,0.00123,3.997092453,0.008777513,6.392280532,0.004728528,2.520043613
431,0.007185012,6.724708678,0.00272272,4.07332862,0.012382225,6.738982829,0.004449909,2.644641074
459,0.006084393,6.895071671,0.00176636,4.122786699,0.008618386,6.980297636,0.004309414,2.765304674
487,0.005622965,7.052514705,0.000902652,4.148060962,0.010740836,7.281041032,0.004709572,2.897172701
515,0.005147148,7.196634835,0.00133,4.185300962,0.007964814,7.504055819,0.003809183,3.003829816
543,0.006948327,7.391187987,0.00102,4.213860962,0.010610327,7.801144977,0.005917717,3.169525879
571,0.005925363,7.55709814,0.000989,4.241552962,0.008148304,8.029297478,0.004928214,3.30751588
