,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.125928423,0.503713692,0.107038721,0.428154886,0.15040448,0.601617921,0.018739297,0.074957189
11,0.058057395,0.910115457,0.040625095,0.712530552,0.073682997,1.117398902,0.017358617,0.196467506
25,0.04578624,1.551122811,0.028520913,1.111823336,0.070419646,2.103273941,0.017194907,0.437196201
39,0.059319547,2.381596472,0.042553589,1.707573578,0.035663376,2.602561201,0.016730295,0.671420333
53,0.044507324,3.004699011,0.027235218,2.088866632,0.043592288,3.212853239,0.017228514,0.912619526
67,0.052321817,3.737204443,0.037481546,2.613608272,0.044047208,3.829514154,0.014796224,1.119766657
81,0.053608657,4.487725637,0.039089183,3.160856833,0.040147222,4.391575258,0.014479327,1.322477229
95,0.051022813,5.202045024,0.037551214,3.686573836,0.035716985,4.891613053,0.013435882,1.510579575
109,0.048669776,5.883421882,0.036562953,4.198455185,0.033182282,5.356164997,0.01207364,1.679610533
123,0.049262127,6.573091654,0.037805838,4.727736911,0.029475605,5.768823474,0.011426813,1.839585919
137,0.045207909,7.20600238,0.033452859,5.196076939,0.02888903,6.173269899,0.011726161,2.003752171
151,0.048743681,7.888413919,0.038602399,5.736510531,0.029957298,6.592672066,0.010111325,2.145310716
179,0.043985624,9.120011399,0.034501218,6.702544648,0.023962409,7.263619521,0.009460443,2.410203132
207,0.045082968,10.38233449,0.035859697,7.706616152,0.024923894,7.961488543,0.009198347,2.667756853
235,0.043413316,11.59790734,0.034136614,8.662441355,0.028734623,8.766057989,0.009247967,2.926699929
263,0.047958157,12.94073574,0.03895281,9.753120034,0.033068483,9.691975515,0.008972279,3.177923728
291,0.048157774,14.28915342,0.039789599,10.8672288,0.035742348,10.69276125,0.008332433,3.411231865
319,0.04912785,15.66473322,0.040892506,12.01221897,0.032766328,11.61021843,0.008202577,3.640904033
347,0.046687799,16.97199158,0.038047732,13.07755545,0.03537217,12.6006392,0.008604695,3.88183549
375,0.042420174,18.15975644,0.035052899,14.05903663,0.03095598,13.46740663,0.007336318,4.087252404
403,0.034908002,19.13718049,0.027981666,14.84252328,0.030286326,14.31542376,0.00689605,4.280341796
431,0.036101972,20.1480357,0.030014643,15.68293327,0.030808655,15.17806608,0.00605652,4.449924368
459,0.03505487,21.12957207,0.028780848,16.48879701,0.034542388,16.14525293,0.00623948,4.62462981
487,0.035813827,22.13235924,0.029797108,17.32311603,0.037651786,17.19950294,0.005979068,4.792043705
515,0.031783572,23.02229926,0.026432427,18.063224,0.035476679,18.19284994,0.005315668,4.940882407
543,0.035375105,24.01280219,0.029631853,18.89291588,0.03780507,19.25139191,0.005705447,5.100634916
571,0.03235694,24.91879651,0.027192365,19.65430211,0.03717141,20.29219139,0.005127403,5.244202202
