,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.049923295,0.19969318,0.046899336,0.187597345,0.033129483,0.132517932,0.002990829,0.011963317
11,0.04500688,0.514741338,0.042205671,0.483037044,0.034505378,0.374055578,0.002766703,0.031330239
25,0.022467949,0.82929262,0.021018496,0.777295983,0.018524347,0.633396436,0.001430929,0.051363241
39,0.027263924,1.210987559,0.024926963,1.126273464,0.02063531,0.922290776,0.002316326,0.083791803
53,0.026411208,1.580744475,0.023329649,1.452888554,0.023694082,1.254007918,0.003057865,0.126601913
67,0.016131879,1.806590776,0.01273696,1.631205992,0.011919822,1.420885427,0.003382999,0.173963899
81,0.014653813,2.011744161,0.011213918,1.788200845,0.009737389,1.557208874,0.003430158,0.221986107
95,0.013653508,2.202893279,0.010143702,1.930212675,0.009413443,1.688997076,0.003500393,0.270991607
109,0.012523843,2.378227085,0.008723969,2.052348241,0.00862482,1.80974456,0.003791249,0.324069099
123,0.014453097,2.580570445,0.010358151,2.197362356,0.009056185,1.936531156,0.00408589,0.381271558
137,0.011802966,2.745811966,0.007378138,2.300656288,0.008027404,2.048914819,0.0044168,0.443106763
151,0.012118029,2.915464367,0.007007103,2.398755731,0.009151765,2.177039525,0.005101774,0.514531597
179,0.009111023,3.170573,0.004561762,2.526485081,0.007766126,2.394491055,0.004541494,0.641693428
207,0.010295968,3.458860095,0.004702677,2.658160027,0.009824107,2.669566039,0.005583467,0.798030502
235,0.009510293,3.725148308,0.003380429,2.752812033,0.008224787,2.899860084,0.00612164,0.969436415
263,0.011883934,4.057898468,0.004071268,2.86680755,0.011119513,3.211206439,0.007801546,1.187879712
291,0.013750244,4.442905298,0.004371705,2.989215284,0.009458289,3.476038535,0.009369081,1.450213976
319,0.014679324,4.85392637,0.004952153,3.127875572,0.00902945,3.728863147,0.009718141,1.722321935
347,0.01212789,5.193507294,0.003223799,3.218141947,0.008301137,3.961294984,0.00889579,1.971404052
375,0.014984294,5.613067517,0.00554018,3.373266986,0.010913355,4.266868934,0.0094332,2.235533662
403,0.012478453,5.962464205,0.003925756,3.483188148,0.009256188,4.526042202,0.008543441,2.474750014
431,0.013607098,6.343462943,0.004606959,3.612182996,0.010799156,4.82841856,0.00898934,2.726451529
459,0.013833912,6.730812482,0.005010295,3.752471255,0.010739765,5.129131994,0.008812877,2.973212095
487,0.012967968,7.093915578,0.003825858,3.859595275,0.011151041,5.441361135,0.009130959,3.228878942
515,0.011847402,7.425642841,0.003763818,3.964982183,0.009452582,5.706033439,0.008074132,3.454954625
543,0.012836381,7.785061496,0.004379879,4.087618781,0.011729842,6.034469014,0.008444772,3.691408246
571,0.012208977,8.126912862,0.004073738,4.201683455,0.01091552,6.340103567,0.008124323,3.918889303
