,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.132002371,0.528009483,0.115964956,0.463859823,0.135848544,0.543394178,0.015901567,0.063606266
11,0.057786095,0.932512146,0.044666047,0.776522154,0.098922923,1.235854641,0.013021125,0.154754138
25,0.036100821,1.437923644,0.023821456,1.110022539,0.060897996,2.088426589,0.012218467,0.325812678
39,0.0350386,1.928464047,0.023088126,1.433256309,0.054044894,2.845055106,0.011896429,0.492362683
53,0.041385303,2.507858289,0.030566686,1.861189908,0.050914166,3.557853424,0.010767703,0.643110528
67,0.05392788,3.262848615,0.043700145,2.472991939,0.03807054,4.090840978,0.010189665,0.785765834
81,0.049606667,3.957341954,0.040128337,3.03478866,0.033605927,4.561323956,0.009444724,0.91799197
95,0.053638962,4.708287426,0.044748215,3.661263666,0.026444657,4.931549151,0.008864303,1.042092212
109,0.05540101,5.483901568,0.047038238,4.319798993,0.020164265,5.21384886,0.008342608,1.158888726
123,0.055026078,6.254266653,0.046744297,4.974219155,0.016695826,5.447590421,0.008265084,1.274599907
137,0.05133288,6.972926975,0.043259649,5.579854246,0.01429651,5.647741564,0.008058934,1.387424988
151,0.048299227,7.649116155,0.040084379,6.141035554,0.012826348,5.827310437,0.008202022,1.50225329
179,0.037856804,8.709106667,0.0304154,6.992666752,0.011614841,6.152525994,0.007429789,1.710287389
207,0.035094793,9.691760861,0.027905659,7.774025212,0.012715238,6.508552661,0.007176418,1.911227097
235,0.030993371,10.55957525,0.024227784,8.452403167,0.013223782,6.878818564,0.006752363,2.100293263
263,0.029496375,11.38547376,0.022960006,9.095283347,0.014043775,7.27204426,0.006522325,2.282918371
291,0.029878799,12.22208013,0.023503242,9.753374131,0.016507369,7.73425059,0.006359049,2.460971752
319,0.02723352,12.9846187,0.021097659,10.3441086,0.021422818,8.334089494,0.006114438,2.632176016
347,0.034690207,13.9559445,0.028195467,11.13358167,0.023994471,9.005934695,0.006470745,2.813356887
375,0.031747591,14.84487705,0.025907272,11.85898529,0.022884135,9.646690486,0.005817435,2.976245068
403,0.030031148,15.68574919,0.024616373,12.54824372,0.01899171,10.17845837,0.005395784,3.127327011
431,0.030264625,16.53315869,0.024937572,13.24649573,0.019671235,10.72925295,0.005307382,3.275933703
459,0.029974148,17.37243484,0.024873895,13.94296478,0.021197208,11.32277476,0.005079056,3.418147284
487,0.028563097,18.17220155,0.023335297,14.59635311,0.020280849,11.89063855,0.005207518,3.563957797
515,0.028065317,18.95803043,0.023267327,15.24783827,0.019946048,12.4491279,0.004778044,3.697743031
543,0.027740743,19.73477123,0.022637773,15.88169593,0.019588504,12.997606,0.005083381,3.840077702
571,0.026416143,20.47442323,0.021903806,16.49500249,0.021079493,13.5878318,0.004491257,3.965832905
