,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.122106461,0.488425843,0.094657997,0.378631988,0.132396163,0.529584653,0.027316068,0.10926427
11,0.075258159,1.015232958,0.051438411,0.738700865,0.067290779,1.000620104,0.023752458,0.275531473
25,0.056116698,1.800866731,0.031403966,1.178356389,0.0628363,1.880328309,0.024649896,0.620630014
39,0.056938526,2.598006096,0.034720177,1.664438867,0.047684393,2.547909815,0.022170665,0.931019319
53,0.058784734,3.420992371,0.037594493,2.190761769,0.032662693,3.005187518,0.021157578,1.227225414
67,0.073165077,4.445303449,0.056159348,2.976992641,0.035950433,3.508493577,0.016969779,1.464802314
81,0.074772128,5.492113246,0.058549457,3.796685039,0.024709379,3.854424886,0.016197962,1.691573782
95,0.070485857,6.478915246,0.05581094,4.578038199,0.021720319,4.15850935,0.014653197,1.896718538
109,0.055997904,7.262885901,0.042144269,5.168057965,0.023658148,4.489723421,0.013829977,2.090338213
123,0.058573994,8.082921815,0.044969359,5.797628991,0.026791581,4.864805555,0.013577843,2.280428018
137,0.058147973,8.896993435,0.04467591,6.423091731,0.030452358,5.291138568,0.01344161,2.468610565
151,0.057668236,9.70434874,0.045950648,7.066400803,0.030832915,5.722799373,0.011686755,2.632225138
179,0.050337774,11.11380641,0.040001634,8.186446555,0.027291165,6.48695199,0.010308849,2.920872908
207,0.0412278,12.2681848,0.031939303,9.080747039,0.017397432,6.974080084,0.009271099,3.180463684
235,0.039848289,13.38393689,0.031315388,9.957577903,0.013568848,7.354007837,0.008519332,3.419004975
263,0.033457188,14.32073815,0.025962304,10.68452242,0.011582268,7.678311335,0.007483302,3.62853742
291,0.030500437,15.17475038,0.023248311,11.33547512,0.010492596,7.97210403,0.007241633,3.831303156
319,0.027866957,15.95502517,0.021692056,11.94285269,0.010820705,8.275083784,0.00616408,4.003897398
347,0.022814337,16.59382661,0.015710318,12.3827416,0.011886032,8.607892671,0.007092133,4.202477121
375,0.025117724,17.29712288,0.02048337,12.95627596,0.01360023,8.988699108,0.004620754,4.331858226
403,0.022213226,17.91909322,0.016688405,13.4235513,0.012419761,9.336452428,0.005512402,4.48620547
431,0.018919591,18.44884175,0.013574424,13.80363517,0.009510362,9.602742563,0.005335656,4.635603843
459,0.013315939,18.82168804,0.007988447,14.02731168,0.007804473,9.821267814,0.005319687,4.784555088
487,0.009443914,19.08611763,0.004133638,14.14305355,0.011392779,10.14026562,0.005298883,4.932923817
515,0.008226619,19.31646297,0.00423,14.26149355,0.009103594,10.39516626,0.003987516,5.04457426
543,0.011330474,19.63371624,0.00403,14.37433355,0.010307357,10.68377226,0.007290166,5.248698921
571,0.009451116,19.89834749,0.004,14.48633355,0.009548391,10.95112721,0.005441568,5.401062816
