,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.093692889,0.374771556,0.072486079,0.289944315,0.100549124,0.402196496,0.021106261,0.084425045
11,0.050085923,0.725373016,0.033723024,0.526005482,0.073899984,0.919496382,0.016288999,0.198448037
25,0.030978308,1.159069331,0.017705426,0.773881449,0.046216516,1.566527608,0.013226665,0.383621354
39,0.032870722,1.619259443,0.017519849,1.019159337,0.043714614,2.178532209,0.015307159,0.597921574
53,0.028594935,2.019588532,0.012333597,1.191829696,0.037313755,2.700924781,0.016224024,0.825057911
67,0.030250679,2.443098033,0.011146392,1.347879181,0.030382781,3.126283716,0.019073904,1.092092568
81,0.028499592,2.84209232,0.010009649,1.488014266,0.03480272,3.613521803,0.01845514,1.350464532
95,0.027724467,3.230234859,0.010654676,1.637179731,0.034323558,4.094051618,0.017035467,1.588961076
109,0.027599924,3.616633796,0.010894502,1.789702762,0.035600387,4.592457039,0.016669822,1.822338577
123,0.025886253,3.979041331,0.009565092,1.923614046,0.037638432,5.119395086,0.016283522,2.05030789
137,0.031128167,4.414835664,0.016248822,2.151097555,0.055151798,5.891520254,0.014824193,2.257846589
151,0.030342325,4.839628211,0.015259578,2.36473164,0.050712844,6.60150007,0.015032034,2.46829507
179,0.043041008,6.044776426,0.031272569,3.240363574,0.075840547,8.725035372,0.011692598,2.795687816
207,0.04922948,7.423201878,0.032558624,4.152005059,0.071957952,10.73985804,0.016598898,3.260456961
235,0.043290276,8.635329605,0.028157325,4.940410148,0.055401613,12.29110322,0.01507755,3.682628354
263,0.041593317,9.799942472,0.030871123,5.804801596,0.042517327,13.48158837,0.010679676,3.981659287
291,0.032847412,10.71967002,0.023175414,6.453713199,0.031986313,14.37720514,0.009640012,4.251579612
319,0.037604668,11.77260072,0.027259086,7.216967602,0.032151021,15.27743373,0.010313431,4.540355687
347,0.032212901,12.67456196,0.022270593,7.840544194,0.027481872,16.04692615,0.009914827,4.817970843
375,0.031485857,13.55616595,0.022547773,8.471881849,0.024208565,16.72476598,0.008913875,5.067559334
403,0.025075155,14.25827029,0.016921203,8.945675521,0.020867891,17.30906693,0.008133084,5.295285698
431,0.027262277,15.02161405,0.019248128,9.484623113,0.020535106,17.88404991,0.007993614,5.51910689
459,0.025084427,15.72397801,0.017917698,9.986318654,0.017136044,18.36385914,0.007149593,5.719295497
487,0.028736061,16.52858771,0.02050876,10.56056393,0.018475176,18.88116406,0.008208826,5.949142624
515,0.022816475,17.16744901,0.015479922,10.99400175,0.016025356,19.32987402,0.007320527,6.154117379
543,0.024204167,17.84516568,0.017127287,11.4735658,0.016070477,19.77984738,0.007060809,6.351820037
571,0.021988023,18.46083034,0.015569012,11.90949814,0.012008642,20.11608935,0.006407002,6.531216106
