,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.137043,0.548174,0.100522,0.402086,0.082674,0.330695,0.036439,0.145757
11,0.115395,1.355937,0.082365,0.97864,0.06274,0.769874,0.032967,0.376527
25,0.08949,2.608799,0.059269,1.808413,0.052328,1.502465,0.030168,0.798883
39,0.08118,3.745316,0.051757,2.533012,0.058929,2.32747,0.029364,1.209976
53,0.102188,5.17595,0.068417,3.490847,0.049703,3.023307,0.033722,1.68208
67,0.095534,6.51342,0.069794,4.467967,0.052794,3.762427,0.025686,2.04169
81,0.092718,7.811465,0.067403,5.411607,0.042848,4.362303,0.025272,2.395496
95,0.082021,8.959756,0.056864,6.2077,0.037871,4.892501,0.025119,2.747163
109,0.077168,10.0401,0.052679,6.945213,0.035925,5.395455,0.024452,3.089495
123,0.074227,11.07928,0.050588,7.653441,0.030857,5.827452,0.023608,3.420011
137,0.066966,12.0168,0.043988,8.26928,0.031931,6.274488,0.022945,3.741243
151,0.068836,12.9805,0.048846,8.953128,0.032084,6.723669,0.019957,4.020644
179,0.057557,14.59209,0.040316,10.08199,0.027709,7.499524,0.017213,4.502603
207,0.050483,16.00561,0.035607,11.07898,0.024219,8.177662,0.014852,4.918453
235,0.04691,17.31909,0.033561,12.01869,0.022525,8.808348,0.013326,5.291595
263,0.044831,18.57435,0.032387,12.92551,0.022165,9.428979,0.012422,5.63941
291,0.042825,19.77345,0.031799,13.81588,0.021798,10.03931,0.011004,5.947529
319,0.045315,21.04227,0.03008,14.65812,0.019996,10.5992,0.015215,6.373553
347,0.038016,22.1067,0.02469,15.34945,0.022999,11.24317,0.013302,6.746015
375,0.037146,23.14679,0.026098,16.0802,0.0202,11.80877,0.011027,7.054783
403,0.030531,24.00167,0.020906,16.66556,0.019491,12.35452,0.009606,7.323748
431,0.031949,24.89623,0.022834,17.30492,0.019185,12.89171,0.009096,7.578424
459,0.028889,25.70511,0.020505,17.87905,0.019358,13.43373,0.008364,7.812625
487,0.026214,26.4391,0.018417,18.39472,0.018269,13.94526,0.007779,8.030434
515,0.020732,27.01961,0.013858,18.78276,0.017736,14.44186,0.006856,8.222408
543,0.020021,27.5802,0.012182,19.12385,0.017192,14.92323,0.007822,8.441433
571,0.020156,28.14456,0.013138,19.49171,0.017028,15.40002,0.007,8.637445
