,temp,water_cont,water_sat,water_fc,Pclay,AOM1_C,AOM1_N,AOM2_C,AOM2_N,AOM3_C,AOM3_N,SMB1_C,SMB1_N,SMB2_C,SMB2_N,SMR_C,SMR_N,NOM_C,NOM_N,MOM_C,MOM_N,NH4,NO3,litter_C,litter_N,litter_lignin
BONA1,23,37.36225,45.01475,37.36225,9.58,0,0,0,0,0,0,1.616188,0.161619,0.646475,0.064648,0.064648,0.006465,6.23202,0.623202,56.08818,1.284581,0.001525,0,37.71819,0.406405,10
BONA2,23,55.97877,67.44431,55.97877,9.58,0,0,0,0,0,0,2.998586,0.299859,1.199435,0.119943,0.119943,0.011994,11.56255,1.156255,104.0629,2.900293,0.001375,0.002668,37.71819,0.406405,10
BONA3,23,53.80874,64.8298,53.80874,9.58,0,0,0,0,0,0,2.409994,0.240999,0.963998,0.0964,0.0964,0.00964,9.292937,0.929294,83.63643,4.318609,0.000613,0.005217,37.71819,0.406405,10
BONA4,23,45.88653,55.28497,45.88653,9.58,0,0,0,0,0,0,1.813641,0.181364,0.725457,0.072546,0.072546,0.007255,6.993401,0.69934,62.94061,1.944952,0.000169,0.002202,37.71819,0.406405,10
CPER1,23,24.94502,30.05424,24.94502,14.7,0,0,0,0,0,0,0.273672,0.027367,0.109469,0.010947,0.010947,0.001095,1.055279,0.105528,9.497515,0.738394,0.000592,0.007253,37.71819,0.406405,10
CPER2,23,27.11132,32.66424,27.11132,14.7,0,0,0,0,0,0,0.257199,0.02572,0.10288,0.010288,0.010288,0.001029,0.99176,0.099176,8.925839,0.753,0.002042,0.012881,37.71819,0.406405,10
CPER3,23,23.64764,28.49113,23.64764,14.7,0,0,0,0,0,0,0.218202,0.02182,0.087281,0.008728,0.008728,0.000873,0.841385,0.084139,7.572468,0.681253,0.001056,0.01703,37.71819,0.406405,10
CPER4,23,26.71352,32.18497,26.71352,14.7,0,0,0,0,0,0,0.272292,0.027229,0.108917,0.010892,0.010892,0.001089,1.049957,0.104996,9.449615,0.861036,0.001579,0.011116,37.71819,0.406405,10
DSNY1,23,35.61621,42.9111,35.61621,1.52,0,0,0,0,0,0,1.340902,0.13409,0.536361,0.053636,0.053636,0.005364,5.170519,0.517052,46.53467,1.862844,0.000946,0.001124,37.71819,0.406405,10
DSNY2,23,22.50982,27.12027,22.50982,1.52,0,0,0,0,0,0,0.712812,0.071281,0.285125,0.028512,0.028512,0.002851,2.748603,0.27486,24.73743,0.883903,0.001788,0.000336,37.71819,0.406405,10
DSNY3,23,31.88989,38.42155,31.88989,1.52,0,0,0,0,0,0,0.816237,0.081624,0.326495,0.032649,0.032649,0.003265,3.147409,0.314741,28.32668,0.989219,0.000502,0.000549,37.71819,0.406405,10
DSNY4,23,27.72081,33.39857,27.72081,1.52,0,0,0,0,0,0,0.643048,0.064305,0.257219,0.025722,0.025722,0.002572,2.479592,0.247959,22.31633,0.850732,0.001896,0.000918,37.71819,0.406405,10
GRSM1,23,35.99646,43.36923,35.99646,16.45,0,0,0,0,0,0,0.937515,0.093752,0.375006,0.037501,0.037501,0.00375,3.615058,0.361506,32.53552,2.082491,0.002039,0.004807,37.71819,0.406405,10
GRSM2,23,43.30325,52.17259,43.30325,16.45,0,0,0,0,0,0,1.966938,0.196694,0.786775,0.078678,0.078678,0.007868,7.584514,0.758451,68.26062,3.850982,0.003622,0.00521,37.71819,0.406405,10
GRSM3,23,40.22918,48.46889,40.22918,16.45,0,0,0,0,0,0,1.358048,0.135805,0.543219,0.054322,0.054322,0.005432,5.236635,0.523663,47.12971,2.965574,0.001978,0.002881,37.71819,0.406405,10
GRSM4,23,41.97078,50.56721,41.97078,16.45,0,0,0,0,0,0,0.842655,0.084266,0.337062,0.033706,0.033706,0.003371,3.249278,0.324928,29.2435,2.180401,0.00066,0.002725,37.71819,0.406405,10
HARV1,23,37.8829,45.64205,37.8829,5.82,0,0,0,0,0,0,0.760854,0.076085,0.304342,0.030434,0.030434,0.003043,2.933854,0.293385,26.40469,0.762909,0.00079,0.001175,37.71819,0.406405,10
HARV2,23,41.64743,50.17763,41.64743,5.82,0,0,0,0,0,0,0.979707,0.097971,0.391883,0.039188,0.039188,0.003919,3.777751,0.377775,33.99976,0.760779,0.001304,0.002179,37.71819,0.406405,10
HARV3,23,33.32776,40.15393,33.32776,5.82,0,0,0,0,0,0,0.84971,0.084971,0.339884,0.033988,0.033988,0.003399,3.276481,0.327648,29.48833,0.680693,0.000126,0.001002,37.71819,0.406405,10
HARV4,23,42.10485,50.72873,42.10485,5.82,0,0,0,0,0,0,0.85347,0.085347,0.341388,0.034139,0.034139,0.003414,3.29098,0.329098,29.61882,0.854912,0,0.002012,37.71819,0.406405,10
KONZ1,23,41.44737,49.93659,41.44737,37.25,0,0,0,0,0,0,0.992876,0.099288,0.39715,0.039715,0.039715,0.003972,3.828529,0.382853,34.45676,2.63196,0.000629,0.018796,37.71819,0.406405,10
KONZ2,23,46.55192,56.08665,46.55192,37.25,0,0,0,0,0,0,1.482878,0.148288,0.593151,0.059315,0.059315,0.005932,5.717979,0.571798,51.46181,3.624676,2.78E-05,0.016261,37.71819,0.406405,10
KONZ3,23,39.13661,47.15254,39.13661,37.25,0,0,0,0,0,0,0.91775,0.091775,0.3671,0.03671,0.03671,0.003671,3.538842,0.353884,31.84958,2.424845,0.000296,0.009319,37.71819,0.406405,10
KONZ4,23,42.30586,50.97091,42.30586,37.25,0,0,0,0,0,0,0.991476,0.099148,0.396591,0.039659,0.039659,0.003966,3.823133,0.382313,34.40819,2.663758,0.000983,0.018176,37.71819,0.406405,10
