,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.079005,0.316019,0.051116,0.204464,0.072973,0.29189,0.027816,0.111263
11,0.051044,0.673325,0.0273,0.395566,0.052992,0.662832,0.02369,0.277096
25,0.040627,1.242098,0.018328,0.652162,0.041353,1.241774,0.022257,0.588695
39,0.042705,1.839962,0.018505,0.911229,0.035218,1.734826,0.024165,0.926999
53,0.047618,2.506613,0.019096,1.178567,0.03267,2.192201,0.02849,1.325854
67,0.045916,3.14944,0.016854,1.414524,0.029053,2.598949,0.029033,1.732317
81,0.050014,3.849633,0.021354,1.713484,0.032124,3.048679,0.028627,2.133101
95,0.05558,4.627753,0.026374,2.082713,0.025172,3.401091,0.029181,2.541639
109,0.054894,5.396264,0.025537,2.440233,0.025998,3.765069,0.02933,2.952266
123,0.053425,6.144211,0.024569,2.784193,0.025302,4.119297,0.028831,3.355899
137,0.053703,6.896054,0.025807,3.145489,0.022738,4.437628,0.027873,3.746127
151,0.05641,7.68579,0.027223,3.526605,0.023271,4.763426,0.029164,4.154421
179,0.049669,9.076513,0.025297,4.234928,0.019358,5.305462,0.024352,4.836279
207,0.048542,10.4357,0.023752,4.89997,0.018762,5.830805,0.024772,5.529895
235,0.047989,11.7794,0.023568,5.559879,0.018321,6.343805,0.024403,6.213175
263,0.049482,13.16489,0.024303,6.240368,0.017736,6.840422,0.025161,6.917678
291,0.049393,14.5479,0.024735,6.932954,0.016448,7.300966,0.024642,7.607647
319,0.047986,15.89152,0.021624,7.538423,0.016234,7.755518,0.026346,8.345343
347,0.047278,17.21529,0.021192,8.131806,0.016547,8.218838,0.026069,9.075268
375,0.041527,18.37806,0.017649,8.625978,0.015888,8.663708,0.023862,9.743415
403,0.044934,19.63621,0.022059,9.243631,0.017045,9.140964,0.022858,10.38343
431,0.038359,20.71026,0.0168,9.714031,0.016751,9.609983,0.021542,10.98662
459,0.035686,21.70946,0.015737,10.15466,0.017694,10.10541,0.019932,11.5447
487,0.037543,22.76066,0.017167,10.63533,0.017992,10.60919,0.020358,12.11473
515,0.039333,23.86198,0.020438,11.20759,0.018547,11.12849,0.018876,12.64326
543,0.034294,24.8222,0.015591,11.64413,0.018955,11.65924,0.018684,13.16641
571,0.033866,25.77044,0.016784,12.11407,0.018816,12.18608,0.017064,13.64419
