,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.117122725,0.468490899,0.106404743,0.425618973,0.101026868,0.404107474,0.010616955,0.042467819
11,0.066366327,0.93305519,0.055142174,0.811614194,0.084307536,0.994260223,0.011139845,0.120446736
25,0.041898821,1.519638682,0.031006247,1.245701651,0.057389402,1.797711845,0.010835185,0.27213932
39,0.035660215,2.01888169,0.023473256,1.574327239,0.045931919,2.440758716,0.012141027,0.442113693
53,0.032159007,2.46910779,0.019601453,1.84874758,0.037219154,2.961826874,0.012520335,0.617398383
67,0.033011679,2.931271295,0.020960295,2.142191712,0.032069954,3.410806234,0.012019314,0.785668776
81,0.035767077,3.432010371,0.024599097,2.486579077,0.031683659,3.854377464,0.011136296,0.941576916
95,0.039730287,3.988234391,0.029285683,2.896578644,0.032179934,4.304896536,0.010412424,1.087350851
109,0.037359546,4.511268035,0.028325572,3.293136655,0.028537214,4.704417536,0.009005437,1.213426963
123,0.036613806,5.023861317,0.027710646,3.681085694,0.028154991,5.098587404,0.008875005,1.337677036
137,0.03346574,5.492381681,0.024641072,4.026060706,0.027203686,5.479439007,0.008797464,1.460841535
151,0.032965649,5.953900772,0.025455091,4.382431974,0.028144788,5.87346604,0.007482414,1.565595332
179,0.030611778,6.811030567,0.023828326,5.049625109,0.02556875,6.589391051,0.006757883,1.754816066
207,0.028996966,7.622945628,0.021960839,5.664528604,0.026198744,7.322955871,0.007009929,1.951094068
235,0.024074665,8.297036252,0.017365211,6.150754513,0.02276352,7.960334429,0.006686691,2.138321404
263,0.028380083,9.09167859,0.021687778,6.758012287,0.023622078,8.621752615,0.006668684,2.32504455
291,0.024992693,9.791473999,0.018474321,7.275293285,0.021801214,9.232186612,0.006496571,2.506948528
319,0.022777399,10.42924117,0.016445105,7.735756218,0.023443001,9.888590642,0.006308851,2.683596365
347,0.023645903,11.09132644,0.016688422,8.203032037,0.022361046,10.51469992,0.006935119,2.877779708
375,0.021096673,11.6820333,0.015392433,8.634020168,0.021491701,11.11646755,0.005682748,3.036896665
403,0.017555526,12.17358803,0.012044711,8.971272085,0.018285771,11.62846916,0.005492529,3.190687476
431,0.019856969,12.72958317,0.014856225,9.387246383,0.02054142,12.20362891,0.004980203,3.330133163
459,0.018709022,13.25343578,0.013672746,9.770083257,0.018784492,12.72959469,0.005017492,3.470622933
487,0.020154696,13.81776727,0.015406377,10.20146181,0.019140154,13.265519,0.004729179,3.60303994
515,0.016848001,14.28951132,0.012510741,10.55176257,0.019682893,13.81664002,0.004317577,3.723932105
543,0.017688047,14.78477663,0.012751348,10.90880033,0.019901814,14.37389081,0.004916797,3.861602414
571,0.015718764,15.22490202,0.011302407,11.22526771,0.018775463,14.89960377,0.004397582,3.984734703
