,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.052356328,0.209425314,0.042111525,0.1684461,0.083476237,0.333904946,0.010161327,0.040645309
11,0.035521364,0.458074859,0.028333,0.3667771,0.076043862,0.866211982,0.00711232,0.090431547
25,0.026974631,0.835719701,0.021090631,0.662045934,0.053661367,1.617471116,0.005830339,0.172056296
39,0.026608906,1.208244386,0.020565608,0.949964446,0.042256676,2.209064576,0.006001041,0.256070875
53,0.029073095,1.615267727,0.022362876,1.26304471,0.032522332,2.664377229,0.006677697,0.34955864
67,0.031897892,2.061838218,0.025489693,1.619900412,0.029757814,3.080986625,0.006378441,0.438856819
81,0.028881216,2.466175248,0.019960631,1.899349246,0.027507119,3.466086289,0.008893078,0.563359916
95,0.034185697,2.944775008,0.023810664,2.232698542,0.026037149,3.830606372,0.010348996,0.70824586
109,0.04051129,3.511933063,0.027207638,2.613605474,0.024492711,4.17350432,0.013279159,0.894154085
123,0.040870788,4.084124089,0.027042925,2.992206424,0.023600936,4.503917427,0.013804262,1.087413748
137,0.037295691,4.606263759,0.023463566,3.320696348,0.018998573,4.769897447,0.013813126,1.280797514
151,0.038291406,5.142343442,0.021017572,3.614942356,0.01759309,5.016200713,0.017256241,1.522384885
179,0.033609716,6.083415487,0.015284547,4.042909672,0.013679547,5.399228037,0.018311489,2.035106587
207,0.033692415,7.026803088,0.013765582,4.428345968,0.012133757,5.738973222,0.019914699,2.592718147
235,0.032174649,7.927693261,0.012197152,4.769866224,0.011777903,6.068754508,0.019965719,3.151758282
263,0.032242948,8.830495802,0.013431707,5.14595402,0.011955018,6.403495007,0.018799286,3.678138287
291,0.029187689,9.647751108,0.014958386,5.564788828,0.011322318,6.720519909,0.014217981,4.07624176
319,0.026210362,10.38164126,0.013392939,5.93979112,0.010587221,7.016962083,0.012806836,4.434833177
347,0.024500214,11.06764726,0.012611846,6.292922808,0.01126337,7.332336446,0.011877105,4.767392111
375,0.022255526,11.690802,0.011772281,6.622546676,0.009724258,7.604615663,0.010473521,5.060650706
403,0.021870846,12.30318569,0.011333589,6.939887168,0.009416934,7.868289817,0.01052784,5.355430229
431,0.021494664,12.90503629,0.011593845,7.264514828,0.010257263,8.155493185,0.009890562,5.632365973
459,0.02138514,13.50382023,0.011304507,7.581041024,0.010371459,8.445894046,0.010070262,5.914333309
487,0.024131438,14.1795005,0.012715998,7.937088968,0.011408345,8.7653277,0.011404032,6.233646208
515,0.022129645,14.79913057,0.011965745,8.272129828,0.010347931,9.055069775,0.010153552,6.517945676
543,0.022572777,15.43116833,0.011915817,8.605772704,0.010004622,9.335199195,0.010646955,6.816060423
571,0.02256714,16.06304824,0.012499089,8.955747196,0.009606261,9.604174508,0.010058445,7.097696873
