,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.117039757,0.468159028,0.090854622,0.363418486,0.134317886,0.537271543,0.026050817,0.10420327
11,0.060036521,0.888414675,0.038869873,0.635507601,0.077921633,1.082722973,0.021088726,0.251824351
25,0.051802765,1.613653385,0.033655444,1.106683818,0.04874894,1.765208136,0.018098572,0.50520436
39,0.043672507,2.225068489,0.027012162,1.484854091,0.049821418,2.462707989,0.016610524,0.737751691
53,0.049658899,2.92029308,0.032745909,1.943296818,0.03076173,2.893372209,0.016882228,0.974102889
67,0.049954341,3.619653857,0.034202454,2.42213118,0.041428583,3.473372372,0.015710458,1.194049304
81,0.052198936,4.350438963,0.036441402,2.932310813,0.037618541,4.000031941,0.015719915,1.414128119
95,0.051663811,5.073732317,0.036756016,3.446895044,0.035563486,4.497920743,0.014872231,1.622339352
109,0.048361432,5.750792358,0.033515313,3.91610942,0.030912304,4.930692998,0.014815207,1.829752245
123,0.050218866,6.453856479,0.036966746,4.433643868,0.030990201,5.364555809,0.013221129,2.014848055
137,0.045312603,7.088232927,0.033009376,4.895775137,0.028668649,5.7659169,0.012274558,2.186691874
151,0.048871662,7.772436199,0.036336262,5.404482802,0.029777253,6.182798436,0.012505623,2.361770599
179,0.051873634,9.224897961,0.040777539,6.546253904,0.032363347,7.088972154,0.011063732,2.671555084
207,0.0458893,10.50979837,0.036090608,7.556790922,0.037548948,8.140342707,0.009761144,2.944867107
235,0.053327954,12.00298108,0.043693858,8.780218942,0.043617288,9.36162678,0.009590479,3.21340051
263,0.052193038,13.46438613,0.042088894,9.958707964,0.047426568,10.68957067,0.010056717,3.494988598
291,0.049042798,14.83758446,0.040282697,11.08662348,0.041079523,11.83979732,0.008719021,3.739121184
319,0.05372399,16.34185619,0.044645762,12.33670481,0.035494193,12.83363472,0.009042734,3.992317749
347,0.04958895,17.7303468,0.040326577,13.46584895,0.035835746,13.8370356,0.009226538,4.250660816
375,0.045211249,18.99626177,0.036142094,14.47782759,0.03163998,14.72295504,0.009037515,4.503711228
403,0.040344503,20.12590787,0.032369243,15.38416639,0.029156422,15.53933485,0.007946104,4.726202137
431,0.037000076,21.16190999,0.02962678,16.21371623,0.02883195,16.34662945,0.007344464,4.931847131
459,0.036720678,22.19008896,0.029283706,17.03366,0.030495605,17.2005064,0.007406476,5.139228459
487,0.037586285,23.24250495,0.029775356,17.86736996,0.030653831,18.05881367,0.007780276,5.357076175
515,0.031367958,24.12080777,0.024368381,18.54968464,0.029624999,18.88831363,0.006969952,5.552234822
543,0.025749206,24.84178555,0.018182951,19.05880727,0.022552207,19.51977542,0.007543703,5.763458506
571,0.023048418,25.48714126,0.016398034,19.51795222,0.021877167,20.1323361,0.006628507,5.949056702
