,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.092752643,0.371010574,0.072744327,0.290977307,0.094208158,0.376832632,0.019914109,0.079656434
11,0.048314386,0.709211278,0.031525404,0.511655138,0.082283893,0.95281988,0.016706698,0.19660332
25,0.03444946,1.191503714,0.018962371,0.77712833,0.059370494,1.784006802,0.015427718,0.412591377
39,0.034442021,1.673692011,0.020328725,1.061730486,0.047224622,2.445151516,0.014066071,0.609516373
53,0.040449952,2.239991339,0.025639813,1.420687867,0.043295559,3.051289336,0.014766844,0.816252183
67,0.037312309,2.762363665,0.023921548,1.755589533,0.034645589,3.536327578,0.013356116,1.003237804
81,0.036899357,3.278954668,0.025133315,2.107455943,0.031004357,3.970388574,0.011735038,1.167528337
95,0.032064477,3.727857346,0.022329724,2.420072072,0.026257429,4.337992581,0.009708496,1.303447281
109,0.029199108,4.136644857,0.020344914,2.704900874,0.024107032,4.675491031,0.008830087,1.427068492
123,0.028152396,4.530778394,0.02011061,2.986449408,0.021781451,4.980431345,0.008020005,1.539348555
137,0.026478424,4.901476331,0.018424843,3.244397206,0.021610861,5.282983393,0.00803197,1.651796141
151,0.02971988,5.317554657,0.022011069,3.552552166,0.020895579,5.575521492,0.007687916,1.759426969
179,0.02533376,6.026899934,0.018527341,4.071317709,0.019358069,6.117547424,0.006787061,1.949464678
207,0.02176089,6.636204866,0.015336912,4.500751249,0.017182952,6.598670083,0.006406795,2.128854947
235,0.023093344,7.282818491,0.016136751,4.952580272,0.017179642,7.079700047,0.006939413,2.323158519
263,0.023459739,7.939691189,0.015938391,5.398855226,0.015983891,7.527248984,0.007505364,2.533308714
291,0.024237712,8.618347133,0.017276536,5.88259823,0.018119215,8.034587003,0.006943057,2.727714316
319,0.03299033,9.542076372,0.02626981,6.618152906,0.023138583,8.682467332,0.006697381,2.915240998
347,0.039774572,10.65576438,0.032241835,7.520924291,0.04052959,9.81729584,0.007492207,3.125022794
375,0.037647195,11.70988585,0.030747771,8.381861876,0.06926076,11.75659711,0.006830164,3.316267378
403,0.040163534,12.83446479,0.033891024,9.330810536,0.102274259,14.62027635,0.006170236,3.489033982
431,0.035107797,13.81748311,0.028911122,10.14032196,0.101318345,17.45719002,0.006095356,3.65970396
459,0.035283707,14.80542692,0.02897179,10.95153209,0.09152244,20.01981835,0.006220395,3.833875013
487,0.029505233,15.63157345,0.022944956,11.59399084,0.06539419,21.85085567,0.006494884,4.015731754
515,0.02848494,16.42915177,0.022549092,12.22536543,0.065167745,23.67555253,0.00587068,4.18011079
543,0.024375017,17.11165226,0.017790098,12.72348816,0.069509939,25.62183083,0.00651541,4.362542268
571,0.021691949,17.71902683,0.016074134,13.17356391,0.050255321,27.02897981,0.00556756,4.518433936
