,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.084738269,0.338953076,0.074067169,0.296268676,0.099413862,0.397655448,0.010571686,0.042286744
11,0.051747593,0.701186228,0.043325054,0.599544055,0.073120736,0.909500598,0.008349418,0.100732673
25,0.031281187,1.139122844,0.022724798,0.917691231,0.040556812,1.477295971,0.008515832,0.219954317
39,0.03077976,1.570039491,0.021306352,1.215980163,0.031082497,1.912450926,0.009442326,0.352146877
53,0.034435187,2.052132113,0.025328251,1.570575671,0.031153539,2.348600467,0.009075783,0.479207841
67,0.039044887,2.598760536,0.030580614,1.998704264,0.031026202,2.782967301,0.008433247,0.597273304
81,0.039899128,3.157348322,0.032065507,2.447621366,0.028489305,3.181817574,0.007805131,0.706545138
95,0.03759902,3.683734608,0.030213579,2.870611475,0.022751937,3.500344692,0.007362689,0.809622789
109,0.036381029,4.19306902,0.028895059,3.275142303,0.024597838,3.844714419,0.007461372,0.914082003
123,0.039752674,4.749606462,0.032794247,3.734261767,0.035063514,4.335603616,0.006923363,1.011009091
137,0.045650844,5.388718284,0.038598202,4.274636589,0.057340927,5.138376592,0.006995302,1.108943319
151,0.057197478,6.189482979,0.050339414,4.979388383,0.084296564,6.318528484,0.006773768,1.203776067
179,0.060572079,7.885501197,0.05415529,6.495736517,0.137746166,10.17542113,0.006279043,1.379589258
207,0.072968292,9.928613366,0.066745765,8.364617933,0.166703392,14.84311611,0.006055824,1.549152317
235,0.076373982,12.06708486,0.070407857,10.33603792,0.164049197,19.43649363,0.005802076,1.711610449
263,0.058155755,13.695446,0.051688494,11.78331574,0.123020516,22.88106807,0.006344241,1.889249191
291,0.050310995,15.10415385,0.044523119,13.02996307,0.103281723,25.77295631,0.005684594,2.048417821
319,0.046846434,16.41585399,0.040823319,14.17301602,0.08667572,28.19987647,0.005936438,2.214638098
347,0.041546987,17.57916962,0.035415733,15.16465655,0.083984877,30.55145301,0.006047269,2.383961617
375,0.039167759,18.67586687,0.033382049,16.09935392,0.075444819,32.66390794,0.005710265,2.543849045
403,0.026658429,19.42230288,0.021865041,16.71157506,0.055391719,34.21487608,0.004737997,2.676512948
431,0.0261959,20.15578807,0.021049727,17.30096741,0.053212235,35.70481865,0.005092961,2.819115844
459,0.025357895,20.86580913,0.02027266,17.86860188,0.052469463,37.1739636,0.005032766,2.960033286
487,0.024567266,21.55369258,0.019334661,18.40997237,0.051175704,38.60688332,0.00518143,3.105113322
515,0.019974632,22.11298227,0.015370719,18.8403525,0.040020744,39.72746417,0.004563892,3.232902302
543,0.019393962,22.65601322,0.014353497,19.24225042,0.036465016,40.74848462,0.005004001,3.373014316
571,0.017485799,23.14561558,0.01293804,19.60451553,0.03339403,41.68351747,0.004514365,3.499416538
