,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.10150831,0.40603324,0.086677942,0.346711767,0.088838158,0.35535263,0.01474153,0.05896612
11,0.042066721,0.700500286,0.030007506,0.556764307,0.076271157,0.889250732,0.011982944,0.142846728
25,0.026584647,1.07268534,0.015108989,0.768290149,0.057824028,1.698787129,0.011417834,0.302696404
39,0.029860772,1.490736157,0.015857963,0.990301637,0.047396195,2.36233386,0.013955413,0.498072186
53,0.026705163,1.864608449,0.011874002,1.156537669,0.042392455,2.955828227,0.014788769,0.705114952
67,0.029577049,2.278687138,0.011855115,1.322509283,0.039798898,3.513012801,0.017682135,0.952664842
81,0.034493811,2.761600493,0.016256009,1.550093412,0.040736906,4.08332948,0.018197065,1.207423752
95,0.035158798,3.253823671,0.020728985,1.840299205,0.038137152,4.617249612,0.014391676,1.408907216
109,0.037296902,3.775980311,0.025149987,2.192399029,0.03833944,5.154001765,0.012108576,1.57842728
123,0.038804819,4.319247773,0.027175469,2.572855597,0.040379572,5.719315776,0.01158897,1.74067286
137,0.039590573,4.873515804,0.029245489,2.982292449,0.037572242,6.245327164,0.010307512,1.884978028
151,0.035468512,5.370074977,0.025725162,3.342444717,0.037901317,6.775945595,0.009705449,2.020854314
179,0.03450084,6.336098503,0.025755131,4.063588383,0.030409296,7.627405881,0.0087153,2.264882714
207,0.030901751,7.201347521,0.022203745,4.685293245,0.027212569,8.389357822,0.008670793,2.507664918
235,0.02833544,7.994739828,0.01987073,5.241673675,0.025009914,9.08963542,0.0084397,2.743976518
263,0.024751518,8.687782312,0.016389442,5.700578042,0.024499593,9.775624019,0.008337576,2.977428646
291,0.024130899,9.363447484,0.016266329,6.156035266,0.022529559,10.40645168,0.00784204,3.197005766
319,0.02297749,10.0068172,0.015446174,6.588528143,0.022587571,11.03890367,0.007508728,3.40725015
347,0.021871388,10.61921606,0.014793756,7.0027533,0.023815408,11.70573509,0.007053817,3.604757026
375,0.023055059,11.26475772,0.017069087,7.480687735,0.020419128,12.27747068,0.005965553,3.77179251
403,0.021041568,11.85392161,0.015286235,7.908702302,0.019776077,12.83120082,0.005735557,3.932388106
431,0.021044218,12.44315971,0.015731326,8.349179417,0.02004422,13.39243899,0.005292848,4.08058785
459,0.020873565,13.02761953,0.015905446,8.794531899,0.019751439,13.94547929,0.004948368,4.219142154
487,0.0244098,13.71109393,0.01935527,9.336479458,0.019711864,14.49741149,0.005034818,4.360117058
515,0.026702763,14.4587713,0.022038395,9.953554514,0.018092279,15.0039953,0.004646276,4.490212786
543,0.026384304,15.19753182,0.021717516,10.56164497,0.016940007,15.4783155,0.004649848,4.62040853
571,0.02762762,15.97110516,0.02332135,11.21464277,0.016080576,15.92857163,0.004290189,4.740533822
