,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.09525,0.38102,0.07937,0.317498,0.0749,0.299586,0.01581,0.06322
11,0.06549,0.839435,0.04992,0.666906,0.08435,0.890049,0.01549,0.17164
25,0.04991,1.538177,0.03415,1.144984,0.04816,1.564256,0.01571,0.39163
39,0.06179,2.403243,0.04088,1.717303,0.05453,2.327612,0.02086,0.68361
53,0.06541,3.319009,0.04412,2.334959,0.03851,2.866726,0.02126,0.98118
67,0.04452,3.94223,0.02817,2.729326,0.03904,3.413355,0.01631,1.20949
81,0.04453,4.565668,0.02883,3.132941,0.03585,3.915221,0.01567,1.42881
95,0.03987,5.1239,0.02553,3.490394,0.0315,4.356264,0.01431,1.62915
109,0.03687,5.640027,0.02407,3.827416,0.03131,4.794599,0.01276,1.80782
123,0.03772,6.168077,0.02563,4.186248,0.03011,5.216164,0.01206,1.97661
137,0.03779,6.697205,0.02572,4.546319,0.03074,5.646474,0.01204,2.14524
151,0.03204,7.145804,0.02178,4.851178,0.02956,6.060273,0.01024,2.28857
179,0.03116,8.018307,0.02192,5.464892,0.02697,6.815509,0.00922,2.5466
207,0.02853,8.817082,0.02015,6.02911,0.02599,7.543241,0.00835,2.78043
235,0.02637,9.555564,0.01841,6.544451,0.0246,8.232029,0.00794,3.00288
263,0.0266,10.30026,0.01892,7.074236,0.02517,8.936829,0.00765,3.21709
291,0.02586,11.02431,0.01857,7.594123,0.02547,9.649983,0.00727,3.42054
319,0.02446,11.70928,0.0178,8.092572,0.02555,10.36535,0.00664,3.60634
347,0.02361,12.37041,0.01634,8.550159,0.02695,11.11983,0.00724,3.80913
375,0.02177,12.97986,0.01583,8.993536,0.02329,11.77195,0.00591,3.97456
403,0.01931,13.52065,0.01346,9.370432,0.02204,12.38921,0.00583,4.13783
431,0.02042,14.09253,0.01527,9.797893,0.02231,13.01382,0.00514,4.28162
459,0.01973,14.64506,0.01447,10.20294,0.02093,13.59992,0.00525,4.42853
487,0.02104,15.23425,0.01615,10.65507,0.02014,14.16397,0.00487,4.56502
515,0.01631,15.69099,0.01192,10.98887,0.01954,14.71105,0.00437,4.68741
543,0.01912,16.22647,0.01432,11.38992,0.02028,15.27887,0.00478,4.82127
571,0.01658,16.69074,0.01235,11.73564,0.018,15.78299,0.00422,4.93931
