,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.105840934,0.423363736,0.10065862,0.40263448,0.130786254,0.523145017,0.005051528,0.02020611
11,0.055459914,0.811583137,0.051221784,0.761186971,0.088009662,1.139212649,0.00415012,0.049256953
25,0.024349045,1.152469762,0.019715191,1.03719965,0.040708288,1.709128684,0.004593145,0.113560983
39,0.022114879,1.462078074,0.017433834,1.281273327,0.042295124,2.301260423,0.00463875,0.178503487
53,0.019865243,1.74019148,0.014778982,1.488179077,0.032510567,2.75640836,0.005053751,0.249255994
67,0.020645944,2.0292347,0.014827913,1.695769859,0.026696935,3.130165446,0.005791334,0.330334676
81,0.020708792,2.319157783,0.014782727,1.902728032,0.020823661,3.421696703,0.005905241,0.413008054
95,0.020687449,2.608782071,0.014468535,2.105287525,0.018463779,3.680189615,0.00620045,0.499814356
109,0.019128097,2.876575424,0.012796162,2.284433788,0.016646567,3.913241556,0.006315288,0.588228394
123,0.019325938,3.147138555,0.01296949,2.466006645,0.017600477,4.159648236,0.006338848,0.676972263
137,0.01916693,3.41547558,0.011957673,2.633414061,0.017132214,4.399499232,0.007192126,0.77766202
151,0.021467176,3.716016046,0.013378805,2.820717332,0.018926729,4.664473438,0.008069444,0.89063424
179,0.019718684,4.268139188,0.01104943,3.130101373,0.018518906,5.183002802,0.008650735,1.132854812
207,0.024568302,4.956051653,0.01417776,3.527078645,0.018099075,5.689776904,0.010372444,1.423283232
235,0.025019598,5.656600409,0.014596036,3.935767641,0.01602615,6.138509102,0.010407537,1.714694259
263,0.027558225,6.428230703,0.016080937,4.38603389,0.014335669,6.539907843,0.011462952,2.035656905
291,0.022310229,7.052917114,0.011927862,4.720014019,0.014463413,6.944883407,0.010367904,2.325958211
319,0.025283485,7.760854702,0.014259008,5.119266249,0.018363768,7.459068911,0.011006113,2.634129384
347,0.030972847,8.628094407,0.01967556,5.670181941,0.018904694,7.98840034,0.011278381,2.949924065
375,0.031747334,9.517019771,0.020841561,6.25374565,0.017017822,8.464899367,0.010888756,3.254809222
403,0.026345217,10.25468584,0.016992553,6.729537123,0.013169829,8.833654572,0.009339494,3.51631506
431,0.023846897,10.92239894,0.014011492,7.121858909,0.011563725,9.157438879,0.009823841,3.791382596
459,0.021718298,11.53051128,0.012258541,7.465098048,0.010978785,9.464844847,0.009448778,4.055948391
487,0.023810559,12.19720693,0.014369722,7.86745025,0.011686753,9.792073942,0.00942915,4.319964604
515,0.02086532,12.78143589,0.012583264,8.219781643,0.010492054,10.08585146,0.008271564,4.551568394
543,0.022499792,13.41143007,0.013470099,8.596944428,0.010990702,10.3935911,0.009018702,4.804092054
571,0.019148886,13.94759889,0.011432596,8.91705711,0.009963753,10.67257618,0.007706327,5.019869204
