,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.159814635,0.639258539,0.039635234,0.158540934,0.113785309,0.455141237,0.120065616,0.480262464
11,0.142357495,1.635761001,0.035704366,0.408471494,0.072623637,0.963506693,0.106580505,1.226326
25,0.127868645,3.425922026,0.024787634,0.75549837,0.044201403,1.582326331,0.103036809,2.66884133
39,0.130664787,5.255229039,0.028102321,1.148930866,0.044342747,2.203124783,0.102518123,4.104095049
53,0.153190587,7.399897253,0.044186831,1.767546504,0.050899202,2.915713605,0.108952856,5.629435036
67,0.152757053,9.538495996,0.051617472,2.490191105,0.046649787,3.56881063,0.101092932,7.04473608
81,0.158479605,11.75721047,0.055727802,3.270380333,0.038405771,4.106491418,0.102713397,8.482723644
95,0.155145735,13.92925075,0.057813066,4.079763254,0.03470157,4.592313392,0.097297967,9.844895185
109,0.156769501,16.12402376,0.060839967,4.931522794,0.031940679,5.039482897,0.095897593,11.18746148
123,0.158213467,18.3390123,0.059853086,5.769466002,0.032445855,5.493724864,0.098327935,12.56405257
137,0.147611975,20.40557995,0.048624598,6.45021038,0.031754625,5.938289613,0.098955622,13.94943128
151,0.150085841,22.50678172,0.048135903,7.124113023,0.030589537,6.366543125,0.101919349,15.37630216
179,0.125794984,26.02904128,0.03305995,8.049791613,0.0231106,7.013639913,0.092711924,17.97223603
207,0.124642352,29.51902714,0.033378592,8.984392181,0.022347612,7.639373043,0.091241413,20.52699558
235,0.121660016,32.92550759,0.032014095,9.880786841,0.024798354,8.33372695,0.089621123,23.03638702
263,0.116336955,36.18294234,0.036105186,10.89173204,0.023861402,9.001846217,0.080207908,25.28220845
291,0.098626102,38.9444732,0.028772027,11.6973488,0.023882503,9.670556303,0.069830192,27.23745384
319,0.104581567,41.87275706,0.018947192,12.22787019,0.026574424,10.41464017,0.0856078,29.63447224
347,0.108727193,44.91711847,0.019499682,12.77386129,0.027046065,11.17192999,0.089200465,32.13208525
375,0.079873888,47.15358732,0.011135857,13.08566528,0.023014652,11.81634024,0.068715016,34.0561057
403,0.069501534,49.09963027,0.012445761,13.43414659,0.023959565,12.48720807,0.057031813,35.65299647
431,0.053329311,50.59285099,0.004022954,13.54678932,0.022894834,13.12826341,0.049283462,37.03293341
459,0.064879793,52.4094852,0.019386347,14.08960703,0.02138644,13.72708373,0.04547206,38.30615109
487,0.059601073,54.07831524,0.013736763,14.4742364,0.020631528,14.3047665,0.045843678,39.58977407
515,0.060091442,55.76087562,0.015090758,14.89677763,0.020191493,14.8701283,0.044980492,40.84922786
543,0.053810534,57.26757058,0.00722432,15.09905858,0.022741847,15.50690002,0.046563473,42.1530051
571,0.053179373,58.75659303,0.008774209,15.34473643,0.021967168,16.12198072,0.044383197,43.39573462
