,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.1450818,0.5803272,0.1120295,0.448118,0.2469,0.9876,0.0328054,0.1312216
11,0.106225202,1.323903511,0.0756735,0.9778325,0.1740016,2.2056112,0.0303777,0.3438654
25,0.093469592,2.632478092,0.0656781,1.8973259,0.1019915,3.6334922,0.0276895,0.7315187
39,0.104020134,4.088759774,0.0746208,2.9420171,0.0853344,4.8281738,0.029314,1.1419145
53,0.123857272,5.822761776,0.0932311,4.2472525,0.0748716,5.8763762,0.0305513,1.5696329
67,0.126258186,7.590375873,0.0988967,5.6318063,0.0602855,6.7203732,0.0273012,1.9518492
81,0.12987409,9.408613328,0.1057349,7.1120949,0.0533896,7.4678276,0.0240858,2.2890506
95,0.118661007,11.06986762,0.0970092,8.4702237,0.0496068,8.1623228,0.0216022,2.5914816
109,0.111656014,12.63305242,0.0914316,9.7502661,0.044214,8.7813188,0.0201802,2.874005
123,0.10625646,14.12064266,0.0868916,10.9667485,0.04346,9.3897588,0.0193214,3.1445044
137,0.096096531,15.46599399,0.0777783,12.0556447,0.0470306,10.0481872,0.0182712,3.4003011
151,0.100293472,16.87010249,0.0833334,13.2223123,0.0480719,10.7211938,0.016912,3.637069
179,0.077276402,19.03384265,0.0635865,15.0027343,0.0385019,11.799247,0.0136514,4.0193091
207,0.063694717,20.81729451,0.0518721,16.4551531,0.0330166,12.7237118,0.0117896,4.3494177
235,0.048175153,22.1661989,0.036883,17.4878771,0.0309531,13.5903986,0.0112612,4.6647314
263,0.046159325,23.45866039,0.034599,18.4566491,0.0279248,14.372293,0.0115324,4.987639
291,0.033963382,24.40963449,0.023675,19.1195491,0.029582,15.200589,0.0102588,5.2748848
319,0.03099586,25.27751938,0.0216099,19.7246263,0.0400604,16.3222802,0.0093459,5.5365708
347,0.024031185,25.95039267,0.0144159,20.1282715,0.0277852,17.1002658,0.0095875,5.8050209
375,0.023694225,26.61383177,0.0148307,20.5435311,0.027425,17.8681658,0.0088361,6.0524325
403,0.017330584,27.0990886,0.0098951,20.8205939,0.0211835,18.4613038,0.0074143,6.2600334
431,0.015714693,27.5391005,0.0081176,21.0478867,0.0193926,19.0042966,0.0075777,6.4722095
459,0.014342822,27.94069821,0.0068574,21.2398939,0.0176218,19.497707,0.0074678,6.6813066
487,0.01429518,28.34096364,0.0068012,21.4303275,0.0162797,19.9535386,0.0074777,6.8906826
515,0.012760148,28.69824849,0.006041,21.5994755,0.0134482,20.3300882,0.0067057,7.0784429
543,0.014110281,29.09333576,0.0068519,21.7913287,0.0132811,20.701959,0.0072451,7.2813051
571,0.012810777,29.45203811,0.0063079,21.9679499,0.0119767,21.0373066,0.0064909,7.4630509
