,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.085942381,0.343769525,0.076618315,0.306473262,0.053170749,0.212682996,0.009270895,0.037083581
11,0.077525821,0.886450273,0.067732958,0.780603968,0.059012708,0.625771955,0.00973385,0.105220534
25,0.056701018,1.680264529,0.045529168,1.418012316,0.047458867,1.290196095,0.011124392,0.260962017
39,0.051593347,2.402571392,0.038575043,1.958062914,0.043452993,1.898538,0.012974852,0.442609939
53,0.059360081,3.23361253,0.045371562,2.593264786,0.049675634,2.593996869,0.013938843,0.637753747
67,0.06533577,4.148313308,0.053889139,3.347712735,0.045764673,3.234702287,0.011400866,0.79736587
81,0.070040682,5.128882859,0.059133899,4.175587322,0.051565443,3.956618495,0.010855218,0.949338918
95,0.064712591,6.034859127,0.053695373,4.927322542,0.038702559,4.498454327,0.010978515,1.10303813
109,0.053226472,6.780029741,0.041793593,5.512432843,0.035501582,4.995476479,0.011397378,1.262601421
123,0.053549715,7.529725755,0.040375929,6.077695843,0.032498547,5.450456137,0.013141288,1.446579456
137,0.054273854,8.28955971,0.039861636,6.63575874,0.029236356,5.859765116,0.014382982,1.647941204
151,0.051107959,9.005071143,0.034603349,7.120205633,0.028231589,6.255007364,0.016476378,1.878610502
179,0.047952546,10.34774244,0.032638913,8.034095188,0.024193903,6.932436661,0.01528944,2.306714816
207,0.044584559,11.59611008,0.02760702,8.807091759,0.021698153,7.539984952,0.01695584,2.781478337
235,0.041945528,12.77058486,0.025584925,9.52346967,0.021624853,8.145480826,0.016338977,3.238969705
263,0.032576328,13.68272204,0.019032361,10.05637578,0.020275569,8.713196759,0.013523691,3.617633065
291,0.035487297,14.67636636,0.020993777,10.64420154,0.020519152,9.287733001,0.014473001,4.022877094
319,0.036924441,15.71025071,0.020517903,11.21870281,0.02033255,9.857044401,0.016386206,4.481690858
347,0.037408679,16.75769372,0.021404628,11.8180324,0.024086636,10.5314702,0.015979964,4.929129857
375,0.032307882,17.66231441,0.017975041,12.32133355,0.021751759,11.14051945,0.014311089,5.32984034
403,0.033965404,18.61334573,0.020293104,12.88954045,0.022871946,11.78093395,0.013649429,5.712024343
431,0.024018063,19.2858515,0.015026633,13.31028617,0.022888855,12.42182188,0.008968542,5.963143506
459,0.029031397,20.09873061,0.016482292,13.77179036,0.022344109,13.04745693,0.01252676,6.313892799
487,0.030753866,20.95983885,0.017822198,14.2708119,0.025018022,13.74796155,0.01290665,6.675278993
515,0.027353828,21.72574604,0.016215532,14.72484681,0.026438843,14.48824916,0.011111857,6.986410984
543,0.023322546,22.37877733,0.013997856,15.11678678,0.026164048,15.22084249,0.009298526,7.246769707
571,0.023390344,23.03370874,0.014351512,15.51862912,0.026742037,15.96962,0.00901209,7.49911
