,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.075998543,0.303994174,0.072368866,0.289475465,0.086650557,0.346602229,0.003543027,0.014172107
11,0.055769954,0.694383849,0.05181896,0.652208186,0.035101468,0.592312507,0.003915892,0.04158335
25,0.035422647,1.190300901,0.03134956,1.091102024,0.019730702,0.868542332,0.004053356,0.098330335
39,0.039581276,1.744438759,0.035522454,1.588416386,0.026350101,1.237443751,0.004032471,0.154784929
53,0.021919703,2.051314603,0.017330385,1.831041774,0.021723524,1.54157309,0.004567595,0.218731257
67,0.023896817,2.385870048,0.018029048,2.083448447,0.021309258,1.8399027,0.00584646,0.300581699
81,0.018752623,2.648406777,0.013947446,2.278712697,0.017158946,2.080127937,0.004788018,0.367613952
95,0.018712663,2.910384061,0.013391367,2.466191828,0.019930877,2.359160214,0.005301366,0.441833073
109,0.017423646,3.154315105,0.010128598,2.607992198,0.016689118,2.592807864,0.007278359,0.5437301
123,0.019198848,3.423098973,0.009810142,2.745334185,0.018491677,2.851691341,0.009370214,0.674913097
137,0.020699661,3.712894225,0.006877973,2.841625802,0.01550008,3.068692458,0.013806188,0.86819973
151,0.024576341,4.056962994,0.009849448,2.979518069,0.01962911,3.343499992,0.014707264,1.074101425
179,0.021124269,4.648442536,0.006615358,3.164748082,0.013057487,3.709109628,0.014495854,1.479985344
207,0.022169703,5.269194219,0.007496301,3.374644496,0.015991748,4.156878574,0.014657411,1.890392844
235,0.017410762,5.756695569,0.004166465,3.491305515,0.01036202,4.447015135,0.013233936,2.260943039
263,0.017805853,6.255259462,0.004802967,3.625788582,0.013527748,4.825792081,0.012989359,2.624645088
291,0.015902216,6.700521521,0.003057951,3.711411219,0.009485827,5.091395232,0.012834779,2.984018906
319,0.016023155,7.14916985,0.004101739,3.826259901,0.012125282,5.43090313,0.011909291,3.317479046
347,0.01610661,7.600154922,0.002758875,3.903508409,0.009952841,5.70958267,0.013337782,3.69093693
375,0.012182587,7.941267347,0.002193656,3.96493078,0.010320941,5.998569022,0.00997861,3.970337998
403,0.01042215,8.233087555,0.000132134,3.968630535,0.007048603,6.195929917,0.010282968,4.25826109
431,0.011752979,8.56217097,0.002458782,4.037476444,0.01145171,6.516577785,0.009282745,4.518177948
459,0.010080428,8.844422951,0.000849778,4.06127024,0.007347654,6.722312088,0.009223302,4.776430399
487,0.008694266,9.064317169,0.00085,4.061525007,0.00864023,6.964238538,0.007835626,4.995827923
515,0.006808815,9.232003991,0.00082,4.061525007,0.005846425,7.127938433,0.005982969,5.163351045
543,0.009636091,9.478574545,0.00083,4.061525007,0.012343181,7.473547503,0.008793748,5.409575991
571,0.007034257,9.652853729,0.00081,4.061525007,0.008517465,7.712036533,0.006215739,5.583616685
