,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.12195428,0.487817122,0.100110196,0.400440786,0.126361194,0.505444776,0.021717723,0.086870891
11,0.056363748,0.882363357,0.036494841,0.655904671,0.084774868,1.098868852,0.019784132,0.225359817
25,0.039257666,1.431970677,0.020949759,0.949201301,0.059412981,1.930650582,0.018248493,0.480838725
39,0.038109537,1.965504191,0.021105222,1.24467441,0.051620024,2.653330922,0.016952695,0.71817645
53,0.041399685,2.545099777,0.024381594,1.586016724,0.04692716,3.310311166,0.016971164,0.955772742
67,0.035875451,3.047356089,0.023298967,1.912202265,0.040282277,3.874263038,0.012536201,1.13127956
81,0.03758856,3.573595927,0.025635912,2.271105028,0.038957999,4.419675022,0.01191369,1.298071224
95,0.036752725,4.088134077,0.026363828,2.640198621,0.03457738,4.903758347,0.01035432,1.443031698
109,0.034637949,4.573065358,0.024774047,2.987035273,0.029115754,5.311378904,0.009834786,1.580718706
123,0.03635963,5.082100175,0.026110007,3.352575372,0.026235927,5.678681876,0.010223387,1.723846122
137,0.032802387,5.5413336,0.022797527,3.671740752,0.024052876,6.01542214,0.009980807,1.863577426
151,0.031728975,5.985539246,0.022867049,3.991879438,0.023147062,6.33948101,0.008838779,1.987320327
179,0.0257412,6.706292855,0.017810671,4.490578218,0.020670331,6.918250272,0.007909859,2.208796387
207,0.025059422,7.40795667,0.018172602,4.999411077,0.019151209,7.454484122,0.006867669,2.401091109
235,0.023291346,8.060114364,0.017482369,5.488917414,0.020911657,8.040010523,0.005788065,2.56315694
263,0.026284511,8.796080669,0.021056247,6.078492332,0.022093554,8.658630029,0.00520617,2.708929706
291,0.025663574,9.514660752,0.020498635,6.652454106,0.024823817,9.353696915,0.005140116,2.852852949
319,0.027909682,10.29613185,0.022639535,7.286361086,0.027666622,10.12836234,0.00524248,2.999642401
347,0.02821251,11.08608214,0.02269231,7.92174577,0.029139526,10.94426908,0.005491061,3.153392098
375,0.027644973,11.86014139,0.022915338,8.563375224,0.024118919,11.61959883,0.004705517,3.285146566
403,0.024596147,12.54883352,0.019844587,9.119023673,0.021928148,12.23358696,0.004729632,3.417576258
431,0.025878666,13.27343618,0.021223315,9.713276484,0.021528759,12.83639221,0.004633823,3.547323301
459,0.025946992,13.99995196,0.021175339,10.30618598,0.021086882,13.42682492,0.004750566,3.680339163
487,0.025986991,14.7275877,0.021273438,10.90184223,0.01923844,13.96550123,0.004694315,3.81177997
515,0.020518685,15.30211088,0.016183706,11.354986,0.017912035,14.46703821,0.004317067,3.932657851
543,0.022101992,15.92096667,0.017240976,11.83773331,0.018427456,14.98300698,0.004842589,4.068250344
571,0.021193602,16.51438752,0.01696812,12.31284066,0.018332479,15.49631639,0.00420715,4.186050543
