,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.055249886,0.220999543,0.047785709,0.191142836,0.043336023,0.173344091,0.007420841,0.029683363
11,0.047746758,0.555226848,0.04277866,0.490593453,0.040723346,0.458407512,0.004927375,0.064174987
25,0.037101249,1.07464434,0.032846569,0.950445417,0.023303412,0.784655283,0.004231377,0.123414268
39,0.03235339,1.527591802,0.02877468,1.353290943,0.021870182,1.090837829,0.003556839,0.173210021
53,0.028021683,1.919895365,0.023890259,1.687754572,0.02421456,1.429841671,0.004107209,0.230710951
67,0.016249762,2.147392029,0.012582437,1.863908694,0.012661791,1.607106752,0.003654663,0.281876228
81,0.014341758,2.348176639,0.010179783,2.006425658,0.012029057,1.775513549,0.004149946,0.339975467
95,0.015520573,2.565464665,0.010903677,2.159077131,0.010869741,1.927689928,0.004606027,0.404459844
109,0.013204086,2.750321874,0.008041077,2.271652208,0.010426557,2.073661729,0.005152583,0.476596005
123,0.014354744,2.95128829,0.008768697,2.394413966,0.011576611,2.235734277,0.00557447,0.55463859
137,0.012561619,3.127150963,0.006711916,2.488380792,0.010755496,2.386311221,0.005838948,0.63638386
151,0.013045908,3.309793677,0.006517331,2.579623425,0.011507749,2.547419707,0.00651707,0.727622833
179,0.010535743,3.604794481,0.004719942,2.7117818,0.010361268,2.837535213,0.00580544,0.890175146
207,0.011594535,3.929441452,0.004395802,2.834864259,0.011555175,3.161080112,0.007187177,1.091416113
235,0.012784025,4.287394155,0.004683616,2.966005514,0.009949848,3.439675847,0.008090459,1.317948964
263,0.012421298,4.635190493,0.003438321,3.062278508,0.011952435,3.774344039,0.008971024,1.569137641
291,0.014246939,5.034104775,0.004345672,3.183957319,0.011614506,4.099550197,0.009889652,1.846047906
319,0.014993432,5.453920885,0.004987527,3.323608079,0.010440349,4.391879964,0.009995465,2.125920926
347,0.012537872,5.804981294,0.003000608,3.407625097,0.009609515,4.660946391,0.009527654,2.392695251
375,0.01579936,6.247363368,0.00518864,3.552907016,0.011861954,4.9930811,0.010598858,2.689463272
403,0.013433957,6.62351417,0.003250326,3.643916142,0.010919458,5.298825912,0.010172712,2.974299202
431,0.012936144,6.985726205,0.003086445,3.730336615,0.012530318,5.649674819,0.009837168,3.249739916
459,0.014133889,7.38147511,0.003941584,3.840700979,0.012702927,6.005356777,0.010179602,3.534768774
487,0.013909407,7.770938498,0.004170551,3.957476407,0.013806813,6.391947536,0.009725049,3.807070143
515,0.012526936,8.121692707,0.003573712,4.057540345,0.0126049,6.744884737,0.008940619,4.057407477
543,0.013329012,8.494905041,0.004604668,4.186471038,0.013666354,7.127542651,0.008710678,4.30130646
571,0.012973916,8.858174702,0.004240386,4.305201834,0.01347133,7.504739882,0.00872006,4.545468128
