,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.102767064,0.411068257,0.082338517,0.329354067,0.082277995,0.329111981,0.02034627,0.081385078
11,0.056783414,0.808552153,0.040241952,0.611047729,0.064104809,0.777845643,0.016477357,0.196726578
25,0.041905412,1.395227916,0.026785996,0.986051672,0.046266675,1.425579088,0.015073149,0.407750665
39,0.042802605,1.99446438,0.027167502,1.366396696,0.04481657,2.053011073,0.015590286,0.626014673
53,0.048595075,2.674795435,0.032350217,1.81929974,0.045816324,2.69443961,0.016199042,0.852801255
67,0.043998867,3.290779572,0.030925437,2.252255861,0.027425804,3.078400859,0.013046004,1.03544531
81,0.046344389,3.939601013,0.034253818,2.731809316,0.038356321,3.615389354,0.012052214,1.204176308
95,0.044160977,4.557854687,0.032512999,3.186991301,0.034665105,4.100700828,0.011613313,1.366762685
109,0.04408384,5.175028444,0.032558,3.642803299,0.034105272,4.57817463,0.011491735,1.527646971
123,0.046459071,5.825455436,0.033278084,4.10869647,0.033034522,5.040657936,0.013147953,1.711718308
137,0.04524803,6.458927851,0.035446245,4.604943896,0.031283846,5.478631777,0.009770501,1.848505324
151,0.04958715,7.15314795,0.037104771,5.124410684,0.030504417,5.905693613,0.012451875,2.022831572
179,0.044602066,8.40200581,0.034909071,6.101864686,0.030358697,6.755737131,0.009662636,2.293385387
207,0.040001771,9.522055409,0.030833602,6.965205556,0.033888355,7.704611078,0.009134281,2.549145242
235,0.041328807,10.67926199,0.031811042,7.855914745,0.037408115,8.752038305,0.009480356,2.81459521
263,0.041709226,11.84712031,0.032443474,8.76433202,0.038239965,9.822757338,0.009227512,3.072965537
291,0.040797281,12.98944417,0.03197858,9.659732268,0.038273178,10.89440631,0.008780427,3.318817499
319,0.039301899,14.08989736,0.031090982,10.53027976,0.03502382,11.87507326,0.008175894,3.547742521
347,0.037803449,15.14839392,0.028923165,11.34012838,0.039340502,12.97660733,0.008840943,3.795288933
375,0.033669831,16.0911492,0.0261325,12.07183837,0.031443664,13.85702991,0.007505888,4.005453794
403,0.031589614,16.9756584,0.024754396,12.76496146,0.031052673,14.72650475,0.006804166,4.195970437
431,0.027178071,17.73664438,0.020855197,13.34890698,0.027457024,15.49530143,0.006295416,4.372242099
459,0.028776547,18.5423877,0.022562179,13.980648,0.031068417,16.36521709,0.006183299,4.545374479
487,0.025166388,19.24704656,0.018825392,14.50775897,0.027100948,17.12404363,0.006313895,4.72216355
515,0.024447844,19.93158618,0.018508971,15.02601016,0.02654942,17.86742738,0.005912323,4.887708593
543,0.023362341,20.58573173,0.017124616,15.50549942,0.023815937,18.53427361,0.006213909,5.061698035
571,0.021046453,21.17503241,0.015295274,15.93376709,0.024382408,19.21698102,0.005726797,5.222048339
