,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.11950745,0.47802981,0.09315935,0.37263741,0.09239809,0.36959236,0.0262557,0.10502282
11,0.10408247,1.20660709,0.0805915,0.93677793,0.07958996,0.92672208,0.02341137,0.26890244
25,0.08383059,2.38023528,0.0627744,1.81561953,0.05039399,1.63223787,0.02100579,0.56298352
39,0.08991324,3.63902059,0.06928075,2.78554996,0.05180365,2.35748894,0.02058069,0.85111315
53,0.08902075,4.88531103,0.06855422,3.74530898,0.05388821,3.11192386,0.02041264,1.13689013
67,0.08462162,6.07001369,0.06755652,4.69110019,0.03412628,3.58969179,0.01703098,1.37532381
81,0.07439212,7.11150342,0.05669081,5.48477149,0.03150408,4.03074883,0.01766981,1.62270119
95,0.06440076,8.01311409,0.04804629,6.15741961,0.02980305,4.44799154,0.01632467,1.8512465
109,0.0633368,8.89982923,0.04705349,6.81616846,0.02931914,4.8584595,0.01625399,2.07880231
123,0.06262168,9.77653271,0.04679597,7.47131207,0.02774448,5.24688225,0.01579796,2.29997377
137,0.06371834,10.6685895,0.0476628,8.13859122,0.02699087,5.62475439,0.01602856,2.52437356
151,0.05987895,11.5068949,0.04528617,8.77259759,0.02465154,5.96987589,0.01456813,2.7283274
179,0.05747767,13.1162696,0.04385256,10.0004692,0.0211133,6.56104835,0.013604,3.10923938
207,0.0508805,14.5409236,0.03951038,11.1067597,0.01960168,7.10989551,0.01135052,3.42705393
235,0.04730857,15.8655636,0.03659087,12.131304,0.02003265,7.67080981,0.01069768,3.72658885
263,0.04482132,17.1205604,0.03478714,13.1053439,0.02037203,8.2412267,0.0100138,4.00697535
291,0.04118827,18.273832,0.03158186,13.9896359,0.02122004,8.8353877,0.00958519,4.2753607
319,0.0392933,19.3740445,0.0309071,14.8550348,0.01928405,9.37534114,0.00836691,4.50963432
347,0.03593767,20.3802993,0.0268781,15.6076217,0.02234445,10.0009856,0.00903723,4.76267665
375,0.03059169,21.2368666,0.02354337,16.266836,0.01946432,10.5459866,0.00702886,4.95948461
403,0.02739587,22.003951,0.02036523,16.8370623,0.01881194,11.0727208,0.00701183,5.15581596
431,0.02674462,22.7528002,0.02025303,17.404147,0.01837494,11.5872191,0.00647322,5.33706602
459,0.02546755,23.4658917,0.0192289,17.9425562,0.018912,12.1167551,0.00621974,5.51121879
487,0.02417975,24.1429246,0.01821631,18.4526127,0.01765377,12.6110606,0.00594579,5.67770084
515,0.01930955,24.683592,0.01406061,18.8463099,0.01764156,13.1050244,0.0052313,5.82417714
543,0.01931521,25.224418,0.01292494,19.2082081,0.01888481,13.633799,0.00637139,6.00257606
571,0.02020437,25.7901402,0.01409088,19.6027528,0.01914264,14.1697928,0.00609434,6.17321764
