,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.067480477,0.269921908,0.048108455,0.192433822,0.096060552,0.384242206,0.019275961,0.077103844
11,0.03752638,0.532606569,0.021791451,0.344973979,0.065948149,0.84587925,0.015668981,0.186786711
25,0.02469222,0.878297645,0.011509324,0.506104513,0.044792315,1.472971659,0.013138104,0.37072016
39,0.026562715,1.250175653,0.013405697,0.693784269,0.043270299,2.078755845,0.013113748,0.554312628
53,0.022243273,1.561581479,0.008582577,0.813940342,0.039346148,2.629601922,0.013621351,0.745011536
67,0.021580769,1.863712246,0.009105873,0.94142257,0.029763954,3.046297275,0.012445132,0.919243379
81,0.021747065,2.168171158,0.008452127,1.059752346,0.034099752,3.523693804,0.013260838,1.104895118
95,0.020051478,2.448891844,0.007566039,1.165676896,0.032070661,3.972683052,0.012453368,1.279242265
109,0.022518208,2.76414676,0.00815519,1.279849558,0.029928349,4.391679938,0.01433309,1.479905522
123,0.024841475,3.111927407,0.008319698,1.396325334,0.029072291,4.798692009,0.016492704,1.710803381
137,0.024959843,3.461365207,0.007162469,1.496599901,0.025572567,5.156707949,0.017771801,1.959608598
151,0.026473449,3.831993491,0.007704918,1.604468756,0.024849333,5.504598611,0.018743681,2.222020136
179,0.021586733,4.436422002,0.006112154,1.775609066,0.020794483,6.086844145,0.015453784,2.654726091
207,0.015808326,4.879055139,0.007176483,1.976550603,0.020234154,6.653400455,0.008611609,2.895851135
235,0.014592264,5.287638532,0.006212577,2.150502766,0.017855075,7.153342543,0.008361832,3.129982424
263,0.022784274,5.925598211,0.006107769,2.321520295,0.017074347,7.631424259,0.016659431,3.596446492
291,0.021912927,6.539160177,0.005963193,2.488489695,0.016464258,8.092423477,0.01593327,4.042578059
319,0.025391459,7.250121029,0.006978068,2.68387561,0.016603863,8.557331654,0.018396787,4.557688087
347,0.023711998,7.914056969,0.006256537,2.859058637,0.016334994,9.014711488,0.017439126,5.04598362
375,0.022124356,8.53353894,0.005995097,3.026921353,0.01555151,9.450153764,0.016113708,5.497167433
403,0.020171472,9.098340153,0.005275918,3.174647066,0.013844227,9.837792129,0.014881709,5.913855294
431,0.019504246,9.64445904,0.005189513,3.319953419,0.012683424,10.19292799,0.01430205,6.314312693
459,0.016515224,10.10688531,0.004077698,3.434128958,0.009806037,10.46749703,0.01242772,6.662288853
487,0.019931412,10.66496484,0.006072254,3.604152069,0.012633338,10.82123049,0.013846524,7.049991536
515,0.017832383,11.16427157,0.004975894,3.743477107,0.011006607,11.12941547,0.012845483,7.409665048
543,0.019671677,11.71507853,0.006374426,3.921961047,0.01334494,11.50307381,0.013283906,7.781614406
571,0.018323465,12.22813554,0.006301709,4.098408898,0.012350105,11.84887676,0.012009406,8.117877763
