,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.156074691,0.624298766,0.120241469,0.480965875,0.082016981,0.328067926,0.035751206,0.143004822
11,0.12749188,1.516741923,0.096240867,1.154651944,0.060549748,0.751916162,0.031190463,0.361338063
25,0.100401682,2.922365469,0.06927472,2.124498021,0.047664442,1.419218345,0.031079298,0.79644823
39,0.104436693,4.384479166,0.074905352,3.173172955,0.04959062,2.113487021,0.02948175,1.209192724
53,0.075735158,5.444771375,0.051174122,3.889610667,0.037729909,2.641705748,0.024523306,1.552519003
67,0.08129848,6.582950096,0.056158599,4.675831047,0.034653175,3.126850201,0.025105228,1.903992199
81,0.076959642,7.660385089,0.054928948,5.444836318,0.031984242,3.574629584,0.02199871,2.211974141
95,0.068299269,8.61657485,0.047456545,6.109227943,0.027336017,3.957333825,0.020815388,2.503389573
109,0.062762649,9.495251936,0.043202746,6.714066392,0.026503514,4.328383021,0.019533399,2.776857161
123,0.062639873,10.37221016,0.043148801,7.31814961,0.023176224,4.652850157,0.019467896,3.049407699
137,0.058024016,11.18454638,0.038292946,7.854250849,0.024066749,4.989784639,0.019707003,3.325305746
151,0.054863728,11.95263857,0.037462096,8.378720195,0.022016079,5.298009746,0.017379615,3.568620363
179,0.049354592,13.33456715,0.034394261,9.341759492,0.018079904,5.804247062,0.014942252,3.987003412
207,0.044979917,14.59400483,0.03188646,10.23458036,0.018210943,6.314153453,0.013075246,4.353110309
235,0.041912708,15.76756066,0.030163061,11.07914607,0.018255392,6.825304433,0.011731392,4.681589283
263,0.042944306,16.97000123,0.031966255,11.97420121,0.016877065,7.297862258,0.010961174,4.988502157
291,0.039428892,18.0740102,0.029718046,12.8063065,0.017921206,7.799656032,0.009692924,5.259904039
319,0.03501044,19.05430251,0.025354214,13.51622451,0.01688226,8.272359303,0.009639343,5.52980564
347,0.035071247,20.03629742,0.025303871,14.2247329,0.019332591,8.813671849,0.009748043,5.802750846
375,0.031895033,20.92935833,0.023701415,14.88837253,0.017769057,9.311205454,0.008175848,6.031674597
403,0.02815401,21.71767061,0.020707829,15.46819173,0.017084201,9.789563085,0.007429097,6.239689312
431,0.026887776,22.47052833,0.019746971,16.02110691,0.016582506,10.25387326,0.007124223,6.439167549
459,0.026521462,23.21312927,0.019561113,16.56881806,0.016262215,10.70921528,0.006944087,6.633601994
487,0.024309908,23.8938067,0.017557493,17.06042786,0.015794815,11.1514701,0.00673662,6.822227365
515,0.021356597,24.4917914,0.015402485,17.49169746,0.015389385,11.5823729,0.005938722,6.988511571
543,0.024474258,25.17707062,0.017634686,17.98546868,0.014481336,11.98785032,0.00682509,7.179614089
571,0.022250522,25.80008525,0.016289534,18.44157563,0.013572144,12.36787036,0.005947416,7.346141744
